workerId,postId,experimentID,formerTask,latterTask,formerClicks,formerTime,formerClickorder,formerClicktime,formerScenarioTime,latterClicks,latterTime,latterClickorder,latterClicktime,latterScenarioTime
"workerId","postId","experimentID","formerTask","latterTask","_clicks_GRM,ARM,GOC,AOC_GRM","_time_GRM,ARM,GOC,AOC_GRM","_clickorder_GRM,ARM,GOC,AOC_GRM","_clicktime_GRM,ARM,GOC,AOC_GRM","_scenariotime_GRM,ARM,GOC,AOC_GRM","_clicks_GRM,ARM,GOC,AOC_GOC","_time_GRM,ARM,GOC,AOC_GOC","_clickorder_GRM,ARM,GOC,AOC_GOC","_clicktime_GRM,ARM,GOC,AOC_GOC","_scenariotime_GRM,ARM,GOC,AOC_GOC"
"A1BXEU20OCUGVZ","ijunpzgv","GRM,ARM,GOC,AOC","GRM","GOC","7","16355","bb,b2,b5b,b5c,b3,b1,b5a","7249,10651,12606,13545,14385,15333,16355","16355","1","43602","b5a","43602","43602,0,0"
"A1OK974KXKO6FJ","ijuo8k4x","GRM,ARM,GOC,AOC","GRM","GOC","7","103637","bb,b2,b1,b3,b5c,b5b,b5a","61955,79812,84070,93645,97420,99036,103637","103637","1","38290","b5a","38290","38290,0,0"
"ADGREXTAORHCE","ijuofmrr","GRM,ARM,GOC,AOC","GRM","GOC","2","7818","bb,b5a","4418,7818","7818","3","4476","bb,b2,b5a","1772,2910,4476","4476,0,0"
"A2DSQT79EPX7My","ijulp6ak","GRM,ARM,GOC,AOC","GRM","GOC","2","3503","bb,b5a","1502,3503","3503","7","15208","b1,bb,b3,b2,b5c,b4,b5a","5511,6497,7432,8770,11465,14262,15208","15208,0,0"
"A248P03SBIGVNH ","ijumrfyq","GRM,ARM,GOC,AOC","GRM","GOC","2","4996","b5c,b5a","4176,4996","4996","1","9084","b5a","9084","6227,1236,1621"
"A3BZVFD82AVLT8","ijulkd8r","GRM,ARM,GOC,AOC","GRM","GOC","2","28514","bb,b5a","26266,28514","28514","4","65175","bb,b5c,b4,b5a","23623,47239,48375,65175","28135,880,36160"
"AKLV0WIZZ356X","ijuofjtx","GRM,ARM,GOC,AOC","GRM","GOC","2","30813","bb,b5a","20923,30813","30813","3","21073","b2,b5c,b5a","8544,19101,21073","21073,0,0"
"A166A2M31CW2C7","ijunu89y","GRM,ARM,GOC,AOC","GRM","GOC","1","55597","b5a","55597","55596","4","30808","b5c,b1,bb,b5a","21236,24388,25461,30808","8684,1449,20675"
"A234BFY8K3WEIG","ijumu9g7","GRM,ARM,GOC,AOC","GRM","GOC","1","81808","b5a","81808","81808","1","75512","b5a","75512","75512,0,0"
"AGFWV1U4CJXP5","ijupuam8","GRM,ARM,GOC,AOC","GRM","GOC","4","20671","b1,b5c,b4,b5a","13343,18336,19783,20671","20671","6","161827","b5c,b4,b2,b3,b1,b5a","157019,158628,160035,160675,161212,161827","161827,0,0"
"A1TH0PTGDSBWMO","ijuo4kvd","GRM,ARM,GOC,AOC","GRM","GOC","1","5316","b5a","5316","5315","4","27685","b3,b5b,b5c,b5a","15209,20164,24472,27685","27684,0,0"
"A2EEL9YYUHL5SK","ijuop8me","GRM,ARM,GOC,AOC","GRM","GOC","1","89525","b5a","89525","89525","4","39278","bb,b5c,b5b,b5a","34333,37229,38317,39278","39278,0,0"
"A2JCHN90PRUWDH","ijulg6ap","GRM,ARM,GOC,AOC","GRM","GOC","2","12724","bb,b5a","3525,12724","12724","2","26820","b2,b5a","18910,26820","7447,2040,17333"
"AUH7I1RNWH44P","ijulxhnb","GRM,ARM,GOC,AOC","GRM","GOC","6","8848","bb,b5b,b4,b3,b5c,b5a","2376,3744,5992,7311,8071,8848","8848","2","28983","b2,b5a","28048,28983","28983,0,0"
"A1B6K2VL8JLK8D","ijunqjpn","GRM,ARM,GOC,AOC","GRM","GOC","1","50582","b5a","50582","50581","1","38371","b5a","38371","38371,0,0"
"ARFGGRGH6TH","ijum85d0","GRM,ARM,GOC,AOC","GRM","GOC","2","19630","bb,b5a","18509,19630","19630","8","14732","b4,b2,b5b,b5c,bb,b3,b1,b5a","8956,10003,10780,11435,11923,12884,13603,14732","14731,0,0"
"workerId","postId","experimentID","formerTask","latterTask","_clicks_GRM,ARM,GOC,AOC_ARM","_time_GRM,ARM,GOC,AOC_ARM","_clickorder_GRM,ARM,GOC,AOC_ARM","_clicktime_GRM,ARM,GOC,AOC_ARM","_scenariotime_GRM,ARM,GOC,AOC_ARM","_clicks_GRM,ARM,GOC,AOC_AOC","_time_GRM,ARM,GOC,AOC_AOC","_clickorder_GRM,ARM,GOC,AOC_AOC","_clicktime_GRM,ARM,GOC,AOC_AOC","_scenariotime_GRM,ARM,GOC,AOC_AOC"
"A1BXEU20OCUGVZ","ijunpzgv","GRM,ARM,GOC,AOC","ARM","AOC","6","63311","b5c,b4,bb,b5a,b5b,b3","54468,58565,60155,61268,62157,63311","63311","2","31852","b4,b3","28722,31852","31852,0,0"
"A1OK974KXKO6FJ","ijuo8k4x","GRM,ARM,GOC,AOC","ARM","AOC","8","269106","b4,b5c,bb,b5b,b5a,b1,b2,b3","251826,254681,256137,260050,261594,264690,268074,269106","269106","8","62387","b4,bb,b5a,b5b,b5c,b1,b2,b3","32531,44332,56219,57555,58556,59843,61035,62387","62387,0,0"
"ADGREXTAORHCE","ijuofmrr","GRM,ARM,GOC,AOC","ARM","AOC","8","11337","b5a,b5b,b5c,b4,b2,bb,b1,b3","3402,5185,6140,6726,8249,9199,10580,11337","11337","2","3254","b5b,b3","1812,3254","3254,0,0"
"A2DSQT79EPX7My","ijulp6ak","GRM,ARM,GOC,AOC","ARM","AOC","3","34558","bb,b5b,b3","2114,3883,34558","34558","1","15815","b3","15815","15815,0,0"
"A248P03SBIGVNH ","ijumrfyq","GRM,ARM,GOC,AOC","ARM","AOC","8","8736","b2,b5a,b4,bb,b5b,b5c,b1,b3","3724,4607,5440,6384,7173,7644,8151,8736","8736","5","10887","b5c,b5b,b5a,b1,b3","6960,7894,8411,10088,10887","2507,325,8055"
"A3BZVFD82AVLT8","ijulkd8r","GRM,ARM,GOC,AOC","ARM","AOC","4","105637","b2,b4,bb,b3","62525,64501,103629,105637","105637","6","58286","bb,b4,b1,b5c,b5b,b3","37958,52678,55558,56950,57414,58286","55862,528,1896"
"AKLV0WIZZ356X","ijuofjtx","GRM,ARM,GOC,AOC","ARM","AOC","5","30569","b2,b4,bb,b1,b3","7911,27337,28417,29529,30569","30569","1","11343","b3","11343","11343,0,0"
"A166A2M31CW2C7","ijunu89y","GRM,ARM,GOC,AOC","ARM","AOC","2","191462","bb,b3","183805,191462","191462","2","9788","bb,b3","5145,9788","9788,0,0"
"A234BFY8K3WEIG","ijumu9g7","GRM,ARM,GOC,AOC","ARM","AOC","3","153213","bb,b4,b3","105615,146777,153213","153212","1","37772","b3","37772","37772,0,0"
"AGFWV1U4CJXP5","ijupuam8","GRM,ARM,GOC,AOC","ARM","AOC","2","4854","b4,b3","3502,4854","4854","7","26876","b4,b5a,b5c,b5b,b1,b2,b3","17709,22700,24132,24620,26021,26420,26876","26876,0,0"
"A1TH0PTGDSBWMO","ijuo4kvd","GRM,ARM,GOC,AOC","ARM","AOC","2","18708","b5c,b3","9340,18708","18709","5","11875","b4,b1,b5b,b5a,b3","4590,6971,8094,10346,11875","11874,0,0"
"A2EEL9YYUHL5SK","ijuop8me","GRM,ARM,GOC,AOC","ARM","AOC","8","95275","b4,bb,b5a,b5b,b5c,b1,b2,b3","51306,86002,89938,91306,92243,93707,94602,95275","95275","6","49212","b4,b5a,b5b,b5c,bb,b3","38037,46044,47004,47716,48276,49212","49212,0,0"
"A2JCHN90PRUWDH","ijulg6ap","GRM,ARM,GOC,AOC","ARM","AOC","5","18930","b5c,b2,b5a,bb,b3","12228,14938,16138,17314,18930","18930","8","21014","b5b,bb,b2,b5a,b5c,b4,b1,b3","9512,11847,14926,16262,17574,18974,20109,21014","3424,3136,14454"
"AUH7I1RNWH44P","ijulxhnb","GRM,ARM,GOC,AOC","ARM","AOC","1","143315","b3","143315","143315","2","17954","b5a,b3","17155,17954","17954,0,0"
"A1B6K2VL8JLK8D","ijunqjpn","GRM,ARM,GOC,AOC","ARM","AOC","6","110027","b4,b5b,b1,bb,b2,b3","95231,100509,102397,108190,109362,110027","110027","4","95411","bb,b5c,b5b,b3","83726,92199,92934,95411","95411,0,0"
"ARFGGRGH6TH","ijum85d0","GRM,ARM,GOC,AOC","ARM","AOC","6","7449","bb,b5b,b5a,b1,b2,b3","4119,5067,5664,6271,6815,7449","7449","3","3093","b5a,b4,b3","2236,2692,3093","3092,0,0"
