workerId,postId,experimentID,taskID,clicks,time,clickorder,clicktime,scenarioTime,why,honestly
"A14MOF7D5EUMH1","ilsp4z56","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","639969","b4,b5a,b3","622025,635353,639969","639961","why:","honestly:"
"AYXDE087J2KO","ilsoxqok","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","296370","b4,b5a,b3","287811,292197,296369","296370","why:","honestly:"
"A1NITBXDX8TN7T","ilsp39xw","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","204964","b4,b5a,b3","188372,197347,204964","204963","why:","honestly:"
"AS68QSR9OKM0N","ilstinx3","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","106992","b4,b5a,b3","92865,99443,106991","106992","why:","honestly:"
"A6JKKANO7F4KD","ilsobkdd","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","160356","b4,b5a,b3","142644,151061,160356","160356","why:","honestly:"
"A3RNYHTTJZ6JUP","ilsoa8x1","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","151197","b4,b5a,b3","125565,138828,151197","151196","why:","honestly:"
"A2M5VW97GIYLHB","ilspi96r","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","106361","b4,b5a,b3","80604,102572,106361","106361","why:","honestly:"
"A100VV1V2XDQI7","ilsp4avu","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","284788","b4,b5a,b3","261772,277779,284788","284787","why:","honestly:"
"A3BL2ZEODD79AZ","ilsohcju","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","49295","b4,b5a,b3","41598,46837,49294","49294","why:","honestly:"
"A2XBHKT0KXRFE5","ilsr0ohi","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","373357","b4,b5a,b3","361406,368539,373357","373357","why:","honestly:"
"A144CG4DJ1O4P3","ilsot139","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","117177","b4,b5a,b3","107982,112828,117177","117177","why:","honestly:"
"A1TPGQAHLMY6UK","ilsrlw7h","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","207764","b4,b5a,b3","188988,194424,207764","207762","why:","honestly:"
"A3F7NONJ6GB64T","ilsutska","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","126417","b4,b5a,b3","116536,121723,126417","126417","why:","honestly:"
"A3G2JDGJCXCWVD","ilsrheu5","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","40658","b4,b5a,b3","31120,37006,40658","40658","why:","honestly:"
"A77K8W55MJEKX","ilsonmdn","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","119279","b4,b5a,b3","47654,94242,119279","119279","why:","honestly:"
"A1XJ9VFOJ4LP2X","ilsp1yox","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","66545","b4,b5a,b3","52866,61583,66544","66544","why:","honestly:"
"A2TH9DIRISH8FE","ilsov3rm","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","177863","b4,b5a,b3","167484,173816,177863","177862","why:","honestly:"
"ATKG4FI2S5MVL","ilsoafjs","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","101020","b4,b5a,b3","84304,96370,101020","101020","why:","honestly:"
"A3RQN5RZD1N2KP","ilso7lux","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","103955","b4,b5a,b3","76497,90300,103955","103955","why:","honestly:"
"A2HNL20X0Q9BP0","ilspz6a8","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","12710","b4,b5a,b3","6270,8957,12710","12709","why:","honestly:"
"ACQ1B7MAA7NCV","ilt4r10l","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","99200","b4,b5a,b3","84185,94752,99200","99199","why:","honestly:"
"A2NMETDZGRDQ55","ilsq5dr4","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","105823","b4,b5a,b3","97973,103123,105823","105823","why:","honestly:"
"A3GYJ7ZDKUZP7L","ilsv4820","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","124338","b4,b5a,b3","115018,121480,124337","124337","why:","honestly:"
"A256YQIKQ2IO3W","ilstjud6","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","121266","b4,b5a,b3","112023,116903,121266","121265","why:","honestly:"
"A2749DC85C9H0F","ilsz2giw","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","880488","b4,b5a,b3","865145,871824,880488","880488","why:","honestly:"
"A1WYZXOTTP17YO","ilso99u4","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","220457","b4,b5a,b3","200754,211129,220457","220457","why:","honestly:"
"A39WGGJ22N4S4F","iltf7vzl","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","91001","b4,b5a,b3","80429,85269,91001","91005","why:","honestly:"
"A324FQ64NCN2YS","ilsp2zbf","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","176061","b4,b5a,b3","146525,149749,176061","176060","why:","honestly:"
"A1HDZE291YUBO5","ilsox98n","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","36855","b4,b5a,b3","21299,32120,36855","36855","why:","honestly:"
"A2HNL20X0Q9BP0","ilspxnp1","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","10006","b4,b5a,b3","7317,8621,10006","10006","why:","honestly:"
"A3UNLVZ3F1EZBS","ilszsl9a","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","99021","b4,b5a,b3","90813,95596,99021","99018","why:","honestly:"
"A3UQ9R1VDVVQKR","ilspuo56","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","53537","b4,b5a,b3","46517,50275,53537","53537","why:","honestly:"
"A3RU7ANMLXJQF6","ilsvds1e","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","73392","b4,b5a,b3","64740,69160,73392","73391","why:","honestly:"
"A1YM0IWPC72J7V","ilspjq35","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","189852","b4,b5a,b3","160359,184211,189852","189852","why:","honestly:"
"A35RZ2HKE9VWJ5","ilsp265k","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","81145","b4,b5a,b3","69818,75625,81144","81144","why:","honestly:"
"A2HNL20X0Q9BP0","ilsph62i","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","209339","b4,b5a,b3","175211,187307,209339","209338","why:","honestly:"
"A38HFMRXB5Q13M","ilsssvau","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","98542","b4,b5a,b3","81708,90999,98542","98542","why:","honestly:"
"A2RMQFCSUFD6F6","ilsptbf9","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","131405","b4,b5a,b3","107885,118890,131403","131409","why:","honestly:"
"APLMF2VYZL92B","ilsoaq1b","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","354462","b4,b5a,b3","333781,341126,354462","354462","why:","honestly:"
"A2ADEPVGNNXNPA","ilsqeakw","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","265322","b4,b5a,b3","233211,247297,265322","265322","why:","honestly:"
"A1W36Q5THCHYUZ","ilsuglj3","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","330068","b4,b5a,b3","324468,327765,330068","330068","why:","honestly:"
"A29N8JHTKLT99B","ilsrx4lr","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","58330","b4,b5a,b3","44898,54409,58330","58329","why:","honestly:"
"A3UNLVZ3F1EZBS","ilt02dud","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","16141","b4,b5a,b3","12309,14532,16141","16140","why:","honestly:"
"A93ALGAFX49BF","ilsvjd9a","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","102592","b4,b5a,b3","84070,96183,102592","102592","why:","honestly:"
"A2ISQVMIK1WF0H","ilssild8","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","346370","b4,b5a,b3","331305,338988,346369","346370","why:","honestly:"
"A38HCU1O9OS0C5","ilsp140j","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","702358","b4,b5a,b3","678511,681317,702358","702356","why:","honestly:"
"A2WX0GMSZUCP83","ilsulphz","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","259432","b4,b5a,b3","248224,255751,259432","259431","why:","honestly:"
"A1E8QOIXZ0AS2Y","ilsraf7y","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","42411","b4,b5a,b3","34578,39018,42410","42410","why:","honestly:"
"A1W5PUJ4372XO7","ilsr0zpz","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","241912","b4,b5a,b3","214603,222530,241912","241912","why:","honestly:"
"A2ZRF4I5RTKN7G","ilsopqlw","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","78614","b4,b5a,b3","65862,69433,78614","78614","why:","honestly:"
"AX50FCBTGARI6","ilt53qcv","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","24841","b4,b5a,b3","20154,23189,24841","24840","why:","honestly:"
"ABMX8XUNPR3LP","ilsolqb4","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","62932","b4,b5a,b3","51268,58284,62932","62932","why:","honestly:"
"AVOBBUCPQF2G1","ilsomi7v","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","32536","b4,b5a,b3","10280,27721,32536","32535","why:","honestly:"
"ANGB67ECCF73","ilt0pfyk","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","89360","b4,b5a,b3","75119,83591,89360","89360","why:","honestly:"
"A1VH48LIPNJNK3","ilszhhxr","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","938571","b4,b5a,b3","825535,921376,938571","938571","why:","honestly:"
"AVVXFDH5UUYLT","ilssfa32","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","16943","b4,b5a,b3","10806,15210,16943","16943","why:","honestly:"
"A29AX5O8KL48F8","ilss6fqe","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","176672","b4,b5a,b3","159052,170254,176672","176672","why:","honestly:"
"A3EPIFIE8WBVVK","ilstr2ro","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","57251","b4,b5a,b3","39983,47656,57250","57250","why:","honestly:"
"A3KSOAD08L2DGK","ilsrayuc","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","159366","b4,b5a,b3","136399,148038,159366","159363","why:","honestly:"
"A3DRYZ95VDUDK","ilsyz74d","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","257401","b4,b5a,b3","169566,205178,257401","257400","why:","honestly:"
"A3DLKEN1H17CCE","ilsuf9q9","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","91952","b4,b5a,b3","68257,78582,91952","91951","why:","honestly:"
"A10XM9LD12RV0Y","ilsoqbl5","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","288171","b4,b5a,b3","250051,258578,288171","288171","why:","honestly:"
"A1GXPNXDLMT0QB","ilt0vp0b","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","182464","b4,b5a,b3","154947,178962,182464","182464","why:","honestly:"
"A7NZ814Q5MX2R","ilsolfgn","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","160809","b4,b5a,b3","145713,152013,160809","160808","why:","honestly:"
"A293W3UQ4R169G","ilss9whi","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","310027","b4,b5a,b3","279971,296403,310027","310026","why:","honestly:"
"A1GVGOWYO5DLZO","ilsof216","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","76434","b4,b5a,b3","61827,69111,76434","76433","why:","honestly:"
"A2LCFORIW0NF1S","ilsul1u4","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","121962","b4,b5a,b3","108898,115626,121962","121962","why:","honestly:"
"AK7LGB1QOGA1P","ilt66trk","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","145048","b4,b5a,b3","131694,138021,145048","145048","why:","honestly:"
"A274NFT93QPBGL","ilsojmfv","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","185386","b4,b5a,b3","166006,172479,185386","185386","why:","honestly:"
"A15PUZKRWJH0EY","ilszg1wq","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","321450","b4,b5a,b3","233258,250649,321450","321449","why:","honestly:"
"A12U7YNO0GKNKZ","ilspf2mx","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","111753","b4,b5a,b3","94221,101901,111753","111753","why:","honestly:"
"A1A1RNLLRZNQWB","ilswvchm","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","44910","b4,b5a,b3","27656,39875,44910","44909","why:","honestly:"
"A182UKZLGBBDLQ","ilst9jdr","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","60887","b4,b5a,b3","53959,58839,60887","60886","why:","honestly:"
"A2HNL20X0Q9BP0","ilsq1ijn","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","19424","b4,b5a,b3","14928,16944,19423","19423","why:","honestly:"
"A3HKIWF1E4QCUT","ilsoppt2","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","213083","b4,b5a,b3","206123,209924,213083","213083","why:","honestly:"
"A93D9W3UFM3FS","ilsplqqa","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","147919","b4,b5a,b3","131960,139271,147918","147919","why:","honestly:"
"A2TXWYY91LRGJG","ilszx7dr","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","15582","b4,b5a,b3","11314,13501,15582","15582","why:","honestly:"
"A1JNC3HWWHJD2J","ilst07nl","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","58346","b4,b5a,b3","38492,47839,58346","58346","why:","honestly:"
"AI4AWKQUHNS3N","ilsoznl3","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","114857","b4,b5a,b3","99577,107008,114856","114856","why:","honestly:"
"A368UU9FU3HDP2","ilsohtao","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","133831","b4,b5a,b3","108495,125986,133831","133831","why:","honestly:"
"A3TGY06F7XQ9LL","ilsoc3t5","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","163480","b4,b5a,b3","153090,156857,163480","163480","why:","honestly:"
"A22GVUGZ3FI2CY","ilsx2355","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","38262","b4,b5a,b3","35965,37204,38261","38261","why:","honestly:"
"A3C35EZLMLQUN8","ilsolu0m","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","242945","b4,b5a,b3","212137,225744,242945","242945","why:","honestly:"
"A21EZISIJ3JPSW","ilsq6cbj","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","102551","b4,b5a,b3","81795,86665,102551","102543","why:","honestly:"
"A2FV0CMG9S8CU0","ilsod4de","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","78073","b4,b5a,b3","55358,63750,78073","78073","why:","honestly:"
"A2TXWYY91LRGJG","ilszjrd6","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","262167","b4,b5a,b3","227122,250127,262167","262166","why:","honestly:"
"A2HNL20X0Q9BP0","ilsq00qo","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","7179","b4,b5a,b3","5107,6674,7179","7179","why:","honestly:"
"A2ADEPVGNNXNPA","ilsqungm","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","561360","b4,b5a,b3","534960,545999,561360","561360","why:","honestly:"
"AWCETLDX3V7N4","ilsyp6yx","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","94904","b4,b5a,b3","80140,89256,94904","94905","why:","honestly:"
"workerId","postId","experimentID","taskID","_clicks_walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM_teach_prime","_time_walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM_teach_prime","_clickorder_walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM_teach_prime","_clicktime_walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM_teach_prime","_scenariotime_walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM_teach_prime","_why_walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM_teach_prime","_honestly_walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM_teach_prime"
"A3NM3GAVMJEI3J","ilspke6v","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","teach_prime","1","111949","b5a","111949","111949","why:","honestly:"
"A3IFO6ZUI1A0E2","ilsuf27t","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","teach_prime","2","275329","b1,b5a","257136,275329","275329","why:","honestly:"
"A3EBUBRYCKB6AF","ilsqo4pv","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","teach_prime","7","180152","b1,b2,b3,b4,b5b,b5c,b5a","175204,175819,176335,176906,178467,179375,180152","180152","why:","honestly:"
"A19C6T7B0H4PAQ","ilsr51lq","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","teach_prime","6","61959","b4,b3,b2,bb,b1,b5a","50294,54783,57285,58943,60396,61959","61959","why:","honestly:"
"A1FLNAFLLO3UPK","ilsp0gw6","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","teach_prime","5","204489","b2,b4,b1,b3,b5a","111783,161629,201745,203102,204489","204489","why:","honestly:"
"A2LQ33BQ8G259D","ilsr21cf","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","teach_prime","1","358836","b5a","358836","358836","why:","honestly:"
"A1BHHRSKO2MBT3","ilsovcw0","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","teach_prime","2","5353","b4,b5a","4188,5353","5353","why:","honestly:"
"AG7F3QKOQJGYR","ilsszmc6","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","teach_prime","1","534818","b5a","534818","534818","why:","honestly:"
"A3IQAKT74IXJB6","ilsxiomg","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","teach_prime","1","122586","b5a","122586","122586","why:","honestly:"
"A3HTLXAPOBCVVO","ilsof6le","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","teach_prime","1","290695","b5a","290695","290695","why:","honestly:"
"AYXDE087J2KO","ilspdvbu","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","teach_prime","7","60388","b1,b5b,b4,b2,b3,b5c,b5a","16628,28152,34763,42413,45788,51731,60388","60388","why:","honestly:"
"A14MOF7D5EUMH1","ilsp4z56","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","teach_prime","1","30570","b5a","30570","30569","why:","honestly:"
"AS68QSR9OKM0N","ilstinx3","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","teach_prime","2","44450","bb,b5a","18107,44450","44450","why:","honestly:"
"A6JKKANO7F4KD","ilsobkdd","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","teach_prime","1","142621","b5a","142621","142620","why:","honestly:"
"A3RNYHTTJZ6JUP","ilsoa8x1","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","teach_prime","1","44186","b5a","44186","44185","why:","honestly:"
"A2M5VW97GIYLHB","ilspi96r","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","teach_prime","1","20207","b5a","20207","20207","why:","honestly:"
"A100VV1V2XDQI7","ilsp4avu","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","teach_prime","1","65634","b5a","65634","65634","why:","honestly:"
"A3BL2ZEODD79AZ","ilsohcju","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","teach_prime","2","24481","b3,b5a","18830,24481","24481","why:","honestly:"
"A2XBHKT0KXRFE5","ilsr0ohi","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","teach_prime","2","210305","bb,b5a","194856,210305","210305","why:","honestly:"
"A144CG4DJ1O4P3","ilsot139","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","teach_prime","8","14968","b2,b3,b4,b5b,b5c,bb,b1,b5a","4272,5321,6194,7488,8259,9867,13983,14968","14968","why:","honestly:"
"A1TPGQAHLMY6UK","ilsrlw7h","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","teach_prime","1","77993","b5a","77993","77992","why:","honestly:"
"A3F7NONJ6GB64T","ilsutska","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","teach_prime","4","20967","b2,b5b,b5c,b5a","13885,15479,18018,20967","20967","why:","honestly:"
"A77K8W55MJEKX","ilsonmdn","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","teach_prime","3","26320","b4,bb,b5a","6532,21840,26320","26320","why:","honestly:"
"A1XJ9VFOJ4LP2X","ilsp1yox","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","teach_prime","4","81977","b5c,bb,b5b,b5a","56017,78030,81526,81976","81977","why:","honestly:"
"A2TH9DIRISH8FE","ilsov3rm","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","teach_prime","1","56394","b5a","56394","56394","why:","honestly:"
"ATKG4FI2S5MVL","ilsoafjs","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","teach_prime","3","176094","b3,b4,b5a","135983,141776,176094","176093","why:","honestly:"
"A3RQN5RZD1N2KP","ilso7lux","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","teach_prime","1","52854","b5a","52854","52854","why:","honestly:"
"A2HNL20X0Q9BP0","ilspz6a8","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","teach_prime","3","14394","b5b,b5c,b5a","12642,13385,14394","14394","why:","honestly:"
"A3GYJ7ZDKUZP7L","ilsv4820","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","teach_prime","1","18562","b5a","18562","18562","why:","honestly:"
"A256YQIKQ2IO3W","ilstjud6","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","teach_prime","1","83957","b5a","83957","83957","why:","honestly:"
"A2749DC85C9H0F","ilsz2giw","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","teach_prime","1","75030","b5a","75030","75030","why:","honestly:"
"A1WYZXOTTP17YO","ilso99u4","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","teach_prime","5","211970","bb,b5b,b2,b1,b5a","141447,182657,196921,205778,211970","211970","why:","honestly:"
