"workerId","postId","userAgent","experimentID","taskID","modules/AOW.html_iunderstand","modules/AOW.html_iready","modules/AOW.html_time","modules/AOW.html_attempts","modules/AOW.html_attempttime","modules/AOW.html_attemptcode","q1","q2","q3","q4","q5","q6"
"AU2NVT51E749C","it3835mo","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36","modules/AOW.html,modules/GOM.html","modules/AOW.html","true","true","323221","6","241502,251978,292834,298438,302162,323221","T2R2,T2R1,T1M1,T1M2,T1M3,T2M2","Somewhat","0","5","A little","Very","I struggled with the first puzzle, making assumptions that I should not have. The line I changed seem to match one of the green criterion word for word, so I am still not sure what I was missing. This was a still a very fun and mentally stimulating study; thank you."
"debug","it34jeac","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:48.0) Gecko/20100101 Firefox/48.0","modules/AOW.html,modules/GOM.html","modules/AOW.html","true","false","4139","2","4131,4139","T2M2,T2M2","A little","0","3","Somewhat","Extremely","debug"
"workerId","postId","userAgent","experimentID","taskID","modules/GOM.html_iunderstand","modules/GOM.html_iready","modules/GOM.html_time","modules/GOM.html_attempts","modules/GOM.html_attempttime","modules/GOM.html_attemptcode","q1","q2","q3","q4","q5","q6"
"A13JDX06ZXN4KJ","it384ddq","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36","modules/AOW.html,modules/GOM.html","modules/GOM.html","true","true","200454","1","200453","T2R4","Very","1","1","Very","Extremely","I was really confused on the first task so I did guess every answer. However on the second task I totally understood what I was doing. I am not sure why the first task was so difficult for me to understand, though."
"A27PVIL93ZMY46","it3cneia","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36","modules/AOW.html,modules/GOM.html","modules/GOM.html","true","true","213688","5","147636,163734,173542,210152,213688","T5R3,T2Mone,T3Msome,T2R3,T2R4","A little","0","8","A little","A little","Better examples, maybe."
"AY7WPVKHVNBLG","it389lp8","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.113 Safari/537.36","modules/AOW.html,modules/GOM.html","modules/GOM.html","true","true","471837","7","106565,125445,387436,421188,429668,451069,471837","T5Mset,T4Msome,T4R1,T5R1,T5R2,T2Mone,T2R4","Somewhat","0","1","Somewhat","Very","The wording was a little tricky."
"A3RQN5RZD1N2KP","it3cdqap","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.113 Safari/537.36","modules/AOW.html,modules/GOM.html","modules/GOM.html","true","true","187864","1","187864","T2R4","A little","1","1","Somewhat","Very","In the first example, it was a bit confusing and I wasn't sure what you were looking for so I ended up guessing but the second example after tinkering with the first made a lot more sense and I was able to make a good decision to get the right answer."
"A1B6K2VL8JLK8D","it3alhx5","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0","modules/AOW.html,modules/GOM.html","modules/GOM.html","true","true","520511","3","407747,520490,520511","T1Msome,T5R4,T5R4","Very","0","1","Extremely","Somewhat","I struggled with knowing which one to change, but the second example made it a lot easier to understand. "
"A3N8JP3QR3VPE8","it39g9gd","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0","modules/AOW.html,modules/GOM.html","modules/GOM.html","true","true","3146706","16","3020367,3031703,3038584,3048251,3056042,3065206,3071088,3075642,3082864,3093040,3100330,3121586,3133855,3142921,3146701,3146705","T3Mone,T4R1,T2R2,T3Mlone,T4Mlone,T5R2,T1Mlone,T2Mlone,T4Msome,T1Mset,T5R1,T2Mone,T2R1,T5R3,T5R4,T5R4","A little","1","1","A little","A little","I did not struggle with anything"
"AHPUVVEDSDA5F","it38aaiy","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36","modules/AOW.html,modules/GOM.html","modules/GOM.html","true","true","118294","5","47166,55222,71806,101838,118293","T5R2,T4R1,T3R2,T5Mset,T2R4","A little","0","3","Very","Extremely","I struggled with making some green statements false while trying to make the red statements true. This was no fault of the researchers; there is no way to make this easier that I can think of."
"A2WCXJZEXXR60A","it3cm452","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36","modules/AOW.html,modules/GOM.html","modules/GOM.html","true","true","352811","15","79521,90049,96829,107335,118363,154210,238217,247747,255104,299521,305512,311168,328717,342680,352811","T2Msome,T2Mlone,T2Mone,T1Msome,T1Mlone,T3Msome,T4Mlone,T4Mset,T4Msome,T5Mset,T5Mone,T5Mlone,T1R1,T2R3,T2R4","A little","1","5","Somewhat","A little","I respond better to examples than concepts or definitions. More examples would help me comprehend and absorb better."
"debug","it37vp5c","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:48.0) Gecko/20100101 Firefox/48.0","modules/AOW.html,modules/GOM.html","modules/GOM.html","true","true","20843","4","12422,16362,20835,20843","T4Msome,T5R1,T5R4,T5R4","Not at all","1","1","A little","Somewhat"," ooo"
"A6JKKANO7F4KD","it3apk03","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36","modules/AOW.html,modules/GOM.html","modules/GOM.html","true","true","118658","1","118658","T2R4","Somewhat","1","4","Somewhat","Somewhat","none"
"AU2NVT51E749C","it3835mo","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36","modules/AOW.html,modules/GOM.html","modules/GOM.html","true","true","200022","1","200022","T5R4","Somewhat","0","5","A little","Very","I struggled with the first puzzle, making assumptions that I should not have. The line I changed seem to match one of the green criterion word for word, so I am still not sure what I was missing. This was a still a very fun and mentally stimulating study; thank you."
"debug","it34jeac","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:48.0) Gecko/20100101 Firefox/48.0","modules/AOW.html,modules/GOM.html","modules/GOM.html","true","true","6463","2","6452,6463","T2R4,T2R4","A little","0","3","Somewhat","Extremely","debug"
