"workerId","postId","userAgent","experimentID","taskID","modules/AOW.html_iunderstand","modules/AOW.html_time","modules/AOW.html_attempts","modules/AOW.html_attempttime","modules/AOW.html_attemptcode","q1","q2","q3","q4","q5","q6"
"AMYURTQIMAC8T","isw8dit1","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36","modules/AOW.html,modules/GOM.html","modules/AOW.html","true","461166","1","461166","T2M2","16","16","Very helpful","no","no","A little helpful"
"workerId","postId","userAgent","experimentID","taskID","modules/GOM.html_iunderstand","modules/GOM.html_time","modules/GOM.html_attempts","modules/GOM.html_attempttime","modules/GOM.html_attemptcode","q1","q2","q3","q4","q5","q6"
"debug","isw7dwzx","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:48.0) Gecko/20100101 Firefox/48.0","modules/AOW.html,modules/GOM.html","modules/GOM.html","true","15822","3","9339,11644,15822","T1Mset,T2R2,T3R4","1","0","A little helpful","fio","   a","Not at all helpful"
"AQ5KOKZQSZU0B","isw8di4j","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0","modules/AOW.html,modules/GOM.html","modules/GOM.html","true","109664","2","104422,109664","T2R3,T2R4","0","0","Extremely helpful","No. I accidentally selected one wrong answer on task 2 (students who are enrolled) while trying to click the one below i (students who are not enrolled), but it was not a guess, just a mis-click. I thought through the entire task before selecting anything, so nothing was surprising.","While it was very useful to solving task 2, task 1 was a little opaque and took a while to get used to. A more thorough explanation of what is going to happen before the task starts could be helpful. It also seemed like there wasn't much to actually do after the walkthrough? It made me wonder if I was somehow missing part of the survey (hopefully not!)","Extremely helpful"
"A1XUZFDVKP95VC","iswgg0kc","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36","modules/AOW.html,modules/GOM.html","modules/GOM.html","false","613969","18","467008,471904,474728,502072,529049,532217,543849,547080,549688,551609,579097,587384,599328,601280,608169,610529,612217,613968","T1Msome,T1Mset,T1Mlone,T2R3,T2R2,T2R1,T2Msome,T3Mlone,T2Mlone,T2Mone,T1R1,T4R1,T3Mone,T3Msome,T5R1,T5R2,T5R3,T5R4","1","10","A little helpful","all of them, i was totally confused how to even go about solving the problem, each choice i tried gave a different error so that even if i tried to fix one, it would give a different error","the entire thing, see above","Extremely helpful"
"ALF9AAZGQP4K5","isw8al2j","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36","modules/AOW.html,modules/GOM.html","modules/GOM.html","true","157954","1","157954","T2R4","0","0","Very helpful","no","just getting the general gist of what was going on. maybe in the problems, instead of listing everything as, student0, class0, you could make it sound less robotic... i don't know, maybe that's only confusing for me.","Very helpful"
"A15781PHGW377Y","iswb5ams","Mozilla/5.0 (Windows NT 5.1; rv:41.0) Gecko/20100101 Firefox/41.0","modules/AOW.html,modules/GOM.html","modules/GOM.html","true","275702","1","275702","T5R4","0","0","Very helpful","I did let slip the first drop down on the example walk through not really intending to pick that choice but simply to see what happened when I did.","it took quite awhile for me to get to the point in the example walk where the choices were. if you did as I did, try to think about what choices I would likely have to make before actually pressing the show button to see there were a limited set of choices.\nI think the example walk through was more difficult than the task itself.\na better solution would be if the student assistants could alternate assignments or something similar. I was a little surprised simply preventing them taking an assignment would be a valid solution but it was my first choice for something that could possibly work.","Somewhat helpful"
"A1945USNZHTROX","isw7k6uq","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.101 Safari/537.36","modules/AOW.html,modules/GOM.html","modules/GOM.html","true","826456","12","406544,672791,690263,711559,757601,769015,788299,795924,798545,812218,819673,826455","T5R1,T4R1,T3R1,T3Msome,T2R3,T4Msome,T5R3,T2Mlone,T2Mone,T3R2,T5R2,T5R4","0","10","A little helpful","After figuring out the correct solution, I then realized that the previous guesses were incorrect, so I should not have been surprised.","The logic made sense in my head but I just could not find the right solution. When I found it, then it made sense, I felt it was harder then it needed to be put in words. For example I knew that the student couldn't grade their own work but it was hard to come up with the right solution in the context.","A little helpful"
"A3F0NFNLOLFJT0","isw7nw1h","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0","modules/AOW.html,modules/GOM.html","modules/GOM.html","true","113482","5","80964,100314,105247,109376,113482","T2R3,T3R3,T3R2,T3R1,T3R4","1","1","A little helpful","I was a little confused by the wording I think. That was the only reason I had to guess.","The wording could be a little more clear but, beyond that, it's fine.","A little helpful"
"A2CVUO3MPZULL8","isw7rgud","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.101 Safari/537.36","modules/AOW.html,modules/GOM.html","modules/GOM.html","true","208221","2","184326,208221","T5Mone,T5R4","0","1","Very helpful","Not exactly, I tried 1 answer that was wrong, once I reread the information and the explanation it was easier to see why it was wrong and what I did wrong.","I had to reread the instruction a couple times. Blocking the information better might help that process.","Very helpful"
"A2NOHPKYCW5FF9","isw8uybm","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0","modules/AOW.html,modules/GOM.html","modules/GOM.html","true","366409","18","91209,106244,111814,119550,137538,164500,184228,211991,216002,225071,231958,235839,278424,340166,350048,359891,363623,366409","T3Msome,T3Mone,T3Mlone,T4Mset,T2Msome,T5R3,T4Msome,T2Mone,T2Mlone,T4Mlone,T5Mlone,T5Mset,T4R1,T1Msome,T5Mone,T5R1,T5R2,T5R4","1","1","A little helpful","no","no","A little helpful"
"A341XKSRZ58FJK","isw927gt","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0","modules/AOW.html,modules/GOM.html","modules/GOM.html","true","122562","4","86920,104480,114904,122561","T5Mone,T2R3,T4R1,T5R4","0","0","Extremely helpful","The choice about assigned students to the class, I thought it would be logical to have the students assigned to grade should only be in that particular class.","Not really, just took a bit figuring out which answer was the best one. Might be slightly vague for some people, but after a few minutes of studying, I was able to figure it out.","Extremely helpful"
"AMYURTQIMAC8T","isw8dit1","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36","modules/AOW.html,modules/GOM.html","modules/GOM.html","true","165630","8","99878,104718,108879,115120,119507,151012,155781,165630","T3Mlone,T4Msome,T2Mlone,T4R1,T5R1,T5R3,T3R2,T5R4","16","16","Very helpful","no","no","A little helpful"
