"workerId","postId","experimentID","taskID","q1","tasks/triple-POS-INT.html_time","tasks/triple-POS-INT.html_test0","tasks/triple-POS-INT.html_test1","tasks/triple-POS-INT.html_test2","tasks/triple-POS-INT.html_test3"
"A3RVHUY67SVXQV","jamynhsf","tasks/triple-POS-INT.html,tasks/adding-machine-EMPTY-LIST.html,tasks/sum-sublists-ALL-FULL.html,tasks/first-half-EMPTY-STRING.html,tasks/cut-at-xx-NO-XXS.html","tasks/triple-POS-INT.html","I'm used to HTML/CSS. I use it at home.","116591","21,63","100,300","66,198","44,132"
"A10YS8AVLQWUZZ","jamln37h","tasks/triple-POS-INT.html,tasks/adding-machine-WITHOUT-00.html,tasks/sum-sublists-EMPTY-SUBLIST.html,tasks/first-half-ODD-LENGTH.html,tasks/cut-at-xx-MULTIPLE-XXS.html","tasks/triple-POS-INT.html","AutoHotkey, yes, no issues.","259991","21,63","0,0","1,3","-3,-9"
"A10XW6SNPNQX16","jampmdhx","tasks/triple-POS-INT.html,tasks/adding-machine-WITHOUT-00.html,tasks/sum-sublists-ALL-FULL.html,tasks/first-half-EMPTY-STRING.html,tasks/cut-at-xx-FOUR-XS.html","tasks/triple-POS-INT.html","I know some visual basic and C++ from school days","734197","21,63","2,6","5,15","4,12"
"A19UBZFVUWL1ES","jamne511","tasks/triple-POS-INT.html,tasks/adding-machine-WITH-00.html,tasks/sum-sublists-EMPTY-LIST.html,tasks/first-half-ODD-LENGTH.html,tasks/cut-at-xx-THREE-XS.html","tasks/triple-POS-INT.html","perl, work, no","91738","21,63","-1,-3","0,0","0.5,1.5"
"A5I4Y0GXJM69D","jamlpzxr","tasks/triple-POS-INT.html,tasks/adding-machine-LEADING-0.html,tasks/sum-sublists-ALL-FULL.html,tasks/first-half-EMPTY-STRING.html,tasks/cut-at-xx-THREE-XS.html","tasks/triple-POS-INT.html","no, good","261443","21,63","63,189","189,567","567,1701"
"A2GAQZAZWV01PU","jamnlogc","tasks/triple-POS-INT.html,tasks/adding-machine-WITH-00.html,tasks/sum-sublists-EMPTY-SUBLIST.html,tasks/first-half-ODD-LENGTH.html,tasks/cut-at-xx-THREE-XS.html","tasks/triple-POS-INT.html","The survey does not have a validation code. I am going to put my ID instead. A2GAQZAZWV01PU","92545","21,63","36,108","13,39","15,45"
"A1SXTZFSSXKBQ","jammqjyt","tasks/triple-POS-INT.html,tasks/adding-machine-LEADING-0.html,tasks/sum-sublists-ALL-FULL.html,tasks/first-half-ODD-LENGTH.html,tasks/cut-at-xx-MULTIPLE-XXS.html","tasks/triple-POS-INT.html","Java. I took courses in C and C++ in school and learned Java on my own to program for Android as a side hobby.","91437","21,63","4,12","0,0","-1,-3"
"A12723JDRPT207","jammrdb2","tasks/triple-POS-INT.html,tasks/adding-machine-LEADING-0.html,tasks/sum-sublists-ALL-FULL.html,tasks/first-half-EVEN-LENGTH.html,tasks/cut-at-xx-MULTIPLE-XXS.html","tasks/triple-POS-INT.html","None at this time","180249","21,63","36,108","108,324","23,69"
"A3TXLHC83TPLT5","jamltqde","tasks/triple-POS-INT.html,tasks/adding-machine-LEADING-0.html,tasks/sum-sublists-EMPTY-LIST.html,tasks/first-half-EVEN-LENGTH.html,tasks/cut-at-xx-FOUR-XS.html","tasks/triple-POS-INT.html","no","107127","21,63","0,0","1,3","0.5,0.25"
"A12BSUP66MCLAI","jamoakoa","tasks/triple-POS-INT.html,tasks/adding-machine-WITHOUT-00.html,tasks/sum-sublists-EMPTY-LIST.html,tasks/first-half-EVEN-LENGTH.html,tasks/cut-at-xx-MULTIPLE-XXS.html","tasks/triple-POS-INT.html","I use a lot of SQL, batch scripting, java, and C++ for work. ","181181","21,63","0,0","-5,-15","1,3"
"A1HN4550TIXQBZ","jammy9s5","tasks/triple-POS-INT.html,tasks/adding-machine-WITHOUT-00.html,tasks/sum-sublists-EMPTY-SUBLIST.html,tasks/first-half-ODD-LENGTH.html,tasks/cut-at-xx-MULTIPLE-XXS.html","tasks/triple-POS-INT.html","N/A","49352","21,63","4,12","5,15","6,18"
"A245KPRERHWJSB","jamm1wy1","tasks/triple-POS-INT.html,tasks/adding-machine-LEADING-0.html,tasks/sum-sublists-ALL-FULL.html,tasks/first-half-ODD-LENGTH.html,tasks/cut-at-xx-MULTIPLE-XXS.html","tasks/triple-POS-INT.html","thank you for the opportunity","354609","21,63","100,300","88,264","8,24"
"workerId","postId","experimentID","taskID","q1","tasks/triple-NEG-INT.html_time","tasks/triple-NEG-INT.html_test0","tasks/triple-NEG-INT.html_test1","tasks/triple-NEG-INT.html_test2","tasks/triple-NEG-INT.html_test3"
"A33921T4I2XIRS","jamnh5m2","tasks/triple-NEG-INT.html,tasks/adding-machine-WITH-00.html,tasks/sum-sublists-ALL-FULL.html,tasks/first-half-EMPTY-STRING.html,tasks/cut-at-xx-THREE-XS.html","tasks/triple-NEG-INT.html","Java, for work - no issues thanks!","132832","-11,-33","0,0","1,3","9999999999,299999999997"
"A2WMLZ23Z4ZRIE","jamo75iy","tasks/triple-NEG-INT.html,tasks/adding-machine-WITHOUT-00.html,tasks/sum-sublists-EMPTY-SUBLIST.html,tasks/first-half-EVEN-LENGTH.html,tasks/cut-at-xx-THREE-XS.html","tasks/triple-NEG-INT.html","css, i work with web design, no issues with survey","128963","-11,33","33,99","12,36","49,147"
"A28HB7240OFGEW","jammseid","tasks/triple-NEG-INT.html,tasks/adding-machine-EMPTY-LIST.html,tasks/sum-sublists-EMPTY-SUBLIST.html,tasks/first-half-ODD-LENGTH.html,tasks/cut-at-xx-NO-XXS.html","tasks/triple-NEG-INT.html","I don't use any programming languages. I do not work with programming. Only a little wordpress here and there and I think that is CSS. No issues, I'm just not sure I did them correctly. ","140793","-11,-33","-5,-15","3,9","4,12"
"A1PTH9KTRO06EG","jamlurzp","tasks/triple-NEG-INT.html,tasks/adding-machine-LEADING-0.html,tasks/sum-sublists-EMPTY-SUBLIST.html,tasks/first-half-EMPTY-STRING.html,tasks/cut-at-xx-NO-XXS.html","tasks/triple-NEG-INT.html","Java, and no I did not when I was in school. Survey went smoothly!","134986","-11,-33","-4,-12","-8,-24","-10,-30"
"A1JT9DNDMSQ34E","jamnp45m","tasks/triple-NEG-INT.html,tasks/adding-machine-WITHOUT-00.html,tasks/sum-sublists-EMPTY-SUBLIST.html,tasks/first-half-EMPTY-STRING.html,tasks/cut-at-xx-THREE-XS.html","tasks/triple-NEG-INT.html","nope","86169","-11,-33","-22\n,-66\n","13,39","-5,-15"
"A3pqugiqqbpr98","jamm9zy7","tasks/triple-NEG-INT.html,tasks/adding-machine-WITHOUT-00.html,tasks/sum-sublists-ALL-FULL.html,tasks/first-half-EMPTY-STRING.html,tasks/cut-at-xx-THREE-XS.html","tasks/triple-NEG-INT.html","no problems great task","490438","-11,-33","-3,-9","-12,-36","-1,-3"
"A25TSW9TVAIOQL","jamsrerx","tasks/triple-NEG-INT.html,tasks/adding-machine-LEADING-0.html,tasks/sum-sublists-EMPTY-LIST.html,tasks/first-half-EMPTY-STRING.html,tasks/cut-at-xx-FOUR-XS.html","tasks/triple-NEG-INT.html","SQL.  As part of my job.  The survey did not work in Chrome version 39.0.2171.95.  I entered the input and expected output but the box remained red.","77053","-11,-33","9.99,29.97","-1.59,-4.77","3.69,11.07"
"A2QY33EGEW6DTD","jamphb5v","tasks/triple-NEG-INT.html,tasks/adding-machine-WITHOUT-00.html,tasks/sum-sublists-EMPTY-LIST.html,tasks/first-half-ODD-LENGTH.html,tasks/cut-at-xx-FOUR-XS.html","tasks/triple-NEG-INT.html","no issues, no experience ","81509","-11,-33","-3,-9","-4,-12","-5,-15"
"A33QUS4NRVVMTN","jamlmpuo","tasks/triple-NEG-INT.html,tasks/adding-machine-LEADING-0.html,tasks/sum-sublists-EMPTY-SUBLIST.html,tasks/first-half-EVEN-LENGTH.html,tasks/cut-at-xx-THREE-XS.html","tasks/triple-NEG-INT.html","HTML or BBC. I worked with some programming in school. I did not have any issues with the study; everything worked as intended. ","111324","-11,-33","1,1","3,9","7,21"
"AVBRJBJONL47I","jamqav80","tasks/triple-NEG-INT.html,tasks/adding-machine-WITHOUT-00.html,tasks/sum-sublists-EMPTY-SUBLIST.html,tasks/first-half-ODD-LENGTH.html,tasks/cut-at-xx-MULTIPLE-XXS.html","tasks/triple-NEG-INT.html","c++, work, no problems","108016","-11,-33","100,300","-1000,-3000","0,0"
"A2ZJAEL03VTZ8","jamm7i87","tasks/triple-NEG-INT.html,tasks/adding-machine-WITHOUT-00.html,tasks/sum-sublists-EMPTY-SUBLIST.html,tasks/first-half-EMPTY-STRING.html,tasks/cut-at-xx-FOUR-XS.html","tasks/triple-NEG-INT.html","none","122676","-11,-33","-5,-15","-3,-9","-6,-18"
"A1OGWGOMZ4Y3WK","jamo10no","tasks/triple-NEG-INT.html,tasks/adding-machine-WITHOUT-00.html,tasks/sum-sublists-EMPTY-LIST.html,tasks/first-half-EMPTY-STRING.html,tasks/cut-at-xx-THREE-XS.html","tasks/triple-NEG-INT.html","use program as part of work, did not have any technical issues with survey","103165","-11,-33","-7,-21","-4,-12","-8,-24"
"A2E5PZUD6W4OA1","jammnojv","tasks/triple-NEG-INT.html,tasks/adding-machine-WITH-00.html,tasks/sum-sublists-ALL-FULL.html,tasks/first-half-EMPTY-STRING.html,tasks/cut-at-xx-FOUR-XS.html","tasks/triple-NEG-INT.html","Python. No but as hobby. None ","71634","-11,-33","3,9","-3,-9","1,3"
"A2CHDWKAYZ3P3E","jamlro62","tasks/triple-NEG-INT.html,tasks/adding-machine-LEADING-0.html,tasks/sum-sublists-EMPTY-SUBLIST.html,tasks/first-half-EMPTY-STRING.html,tasks/cut-at-xx-THREE-XS.html","tasks/triple-NEG-INT.html","I use python the most, as a hobby and for business purposes. No issues with the survey. Great study!","328411","-11,-33","-1,-3","-8,-24","-9,-27"
"A29PB7Q7HNRJ5G","jamm5gwf","tasks/triple-NEG-INT.html,tasks/adding-machine-WITHOUT-00.html,tasks/sum-sublists-EMPTY-SUBLIST.html,tasks/first-half-EVEN-LENGTH.html,tasks/cut-at-xx-NO-XXS.html","tasks/triple-NEG-INT.html","java,yes,no","127723","-11,-33","-33,-99","-99,-297","-297,-891"
"A1P0M5D9IGZIDK","jamnpsjq","tasks/triple-NEG-INT.html,tasks/adding-machine-EMPTY-LIST.html,tasks/sum-sublists-ALL-FULL.html,tasks/first-half-EVEN-LENGTH.html,tasks/cut-at-xx-FOUR-XS.html","tasks/triple-NEG-INT.html","Javascript. Yes, at work. No issues.","318195","-11,-33","-0,0","-0.00000000000000025,-0.00000000000000075","10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,30000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"AZ9BU8QI4YKF3","jammyhut","tasks/triple-NEG-INT.html,tasks/adding-machine-WITHOUT-00.html,tasks/sum-sublists-ALL-FULL.html,tasks/first-half-ODD-LENGTH.html,tasks/cut-at-xx-NO-XXS.html","tasks/triple-NEG-INT.html","python","65489","-11,12","5,25","4,12","3,9"
"A3MK7F6KT80AZT","jammbhdt","tasks/triple-NEG-INT.html,tasks/adding-machine-WITHOUT-00.html,tasks/sum-sublists-EMPTY-SUBLIST.html,tasks/first-half-EVEN-LENGTH.html,tasks/cut-at-xx-MULTIPLE-XXS.html","tasks/triple-NEG-INT.html","I primarily use C++ and use programming fairly regularly.","80748","-11,-33","7,21","-51,-153","-505,-1515"
"A3BFMY5OX2WMUW","jamrcyex","tasks/triple-NEG-INT.html,tasks/adding-machine-LEADING-0.html,tasks/sum-sublists-EMPTY-SUBLIST.html,tasks/first-half-EMPTY-STRING.html,tasks/cut-at-xx-THREE-XS.html","tasks/triple-NEG-INT.html","AutoHotkey, use it for work, a lot. No issues, thank you","30147","-11,-33","1,3","2,6","3,9"
"AVJUIF9QHQRY8","jammf3r8","tasks/triple-NEG-INT.html,tasks/adding-machine-WITH-00.html,tasks/sum-sublists-EMPTY-LIST.html,tasks/first-half-EMPTY-STRING.html,tasks/cut-at-xx-NO-XXS.html","tasks/triple-NEG-INT.html","html, css, studying javascript now.","581650","-11,-33","5,-15","25,-75","54,162"
"A1N8TKTLXV92QR","jamokfa6","tasks/triple-NEG-INT.html,tasks/adding-machine-EMPTY-LIST.html,tasks/sum-sublists-EMPTY-LIST.html,tasks/first-half-EVEN-LENGTH.html,tasks/cut-at-xx-NO-XXS.html","tasks/triple-NEG-INT.html","Java.  I use it at work and for my dissertation.  There were no problems technical or otherwise.  Well done... Thank you","378172","-11,-33","0,0","999999999999999999999999999999999999999999999999999999999999999999999999999999999999,3E+84","0.00000000000000000000000001,3E-26"
"A12BTFPKFKKD2I","jamnty9i","tasks/triple-NEG-INT.html,tasks/adding-machine-WITHOUT-00.html,tasks/sum-sublists-EMPTY-LIST.html,tasks/first-half-EVEN-LENGTH.html,tasks/cut-at-xx-EMPTY-STRING.html","tasks/triple-NEG-INT.html","I only have slight experience with python","62099","-11,-33","5,15","10,30","4,12"
"A3CDT7S9CRGIEG","jamqgd60","tasks/triple-NEG-INT.html,tasks/adding-machine-EMPTY-LIST.html,tasks/sum-sublists-EMPTY-SUBLIST.html,tasks/first-half-ODD-LENGTH.html,tasks/cut-at-xx-THREE-XS.html","tasks/triple-NEG-INT.html","n/a","256364","-11,-33\n","-3,-9","-5,-15","-4,-12"
"workerId","postId","experimentID","taskID","q1","tasks/triple-POS-FLOAT.html_time","tasks/triple-POS-FLOAT.html_test0","tasks/triple-POS-FLOAT.html_test1","tasks/triple-POS-FLOAT.html_test2","tasks/triple-POS-FLOAT.html_test3"
"A194HYD53ONJOY","jammfa31","tasks/triple-POS-FLOAT.html,tasks/adding-machine-WITH-00.html,tasks/sum-sublists-EMPTY-SUBLIST.html,tasks/first-half-EMPTY-STRING.html,tasks/cut-at-xx-THREE-XS.html","tasks/triple-POS-FLOAT.html","Main languages used: JS, PHP and Java. ","240561","2.01,6.03","0,0","-1.01,-3.03","5,15"
"A1USR9JCAMDGM3","jamlunmu","tasks/triple-POS-FLOAT.html,tasks/adding-machine-LEADING-0.html,tasks/sum-sublists-ALL-FULL.html,tasks/first-half-EVEN-LENGTH.html,tasks/cut-at-xx-THREE-XS.html","tasks/triple-POS-FLOAT.html","First time doing anything like this so I hope I did okay.  I had no issues with the survey.","189166","2.01,6.02","3.01,9.03","4.01,12.06","2.03,6.09"
"A2T11H7YI7QPGD","jamnlb4r","tasks/triple-POS-FLOAT.html,tasks/adding-machine-WITH-00.html,tasks/sum-sublists-EMPTY-LIST.html,tasks/first-half-ODD-LENGTH.html,tasks/cut-at-xx-FOUR-XS.html","tasks/triple-POS-FLOAT.html","C#, Work/Hobby, No issues","78465","2.01,6.03","1.001,3.003","99,297","-1,-3"
"A23EWFNNOUS10B","jamlmeoq","tasks/triple-POS-FLOAT.html,tasks/adding-machine-WITHOUT-00.html,tasks/sum-sublists-EMPTY-SUBLIST.html,tasks/first-half-EVEN-LENGTH.html,tasks/cut-at-xx-FOUR-XS.html","tasks/triple-POS-FLOAT.html","C++, no issues","143748","2.01,6.03","1.50,4.50","6.75,20.25","3.71,11.13"
"A2RR04JS69Z5LE","jamn7wvi","tasks/triple-POS-FLOAT.html,tasks/adding-machine-EMPTY-LIST.html,tasks/sum-sublists-EMPTY-LIST.html,tasks/first-half-EVEN-LENGTH.html,tasks/cut-at-xx-EMPTY-STRING.html","tasks/triple-POS-FLOAT.html","No","93591","2.01,6.03","2.0,6.0","4.2,12.6","2.3,6.9"
"A00705991ERAT34HG0R39","jamqw4we","tasks/triple-POS-FLOAT.html,tasks/adding-machine-LEADING-0.html,tasks/sum-sublists-EMPTY-SUBLIST.html,tasks/first-half-EMPTY-STRING.html,tasks/cut-at-xx-NO-XXS.html","tasks/triple-POS-FLOAT.html","SQL. Yes. No","108762","2.01,6.03","3.11,9.33","4.01,12.03","1.5,4.5"
"debug","jalunpgd","tasks/triple-POS-FLOAT.html,tasks/adding-machine-WITHOUT-00.html,tasks/sum-sublists-EMPTY-LIST.html,tasks/first-half-EMPTY-STRING.html,tasks/cut-at-xx-NO-XXS.html","tasks/triple-POS-FLOAT.html","DEBUG DEBUG DEBUG","19354","2.01,6.02","0,0","0,0","0,0"
"A183WYXN12P2TJ","jamnty7q","tasks/triple-POS-FLOAT.html,tasks/adding-machine-EMPTY-LIST.html,tasks/sum-sublists-ALL-FULL.html,tasks/first-half-ODD-LENGTH.html,tasks/cut-at-xx-THREE-XS.html","tasks/triple-POS-FLOAT.html","C++, work, no issues","46085","2.01,6.03","0,0","-1,-3","-5.3,-15.9"
"A1EFQJS8R8ZEUR","jampsrct","tasks/triple-POS-FLOAT.html,tasks/adding-machine-WITH-00.html,tasks/sum-sublists-EMPTY-SUBLIST.html,tasks/first-half-EMPTY-STRING.html,tasks/cut-at-xx-NO-XXS.html","tasks/triple-POS-FLOAT.html","No issues but you should be more explicit if you want us to put in braces. No mention of escape characters?\nFormer programmer (crossed over to PM), used to code VB","135486","2.01,6.03","0.01,0.01","0,0","33.3333,99.9999"
"A31A4YKVSOYRVS","jamua8i1","tasks/triple-POS-FLOAT.html,tasks/adding-machine-WITHOUT-00.html,tasks/sum-sublists-ALL-FULL.html,tasks/first-half-EMPTY-STRING.html,tasks/cut-at-xx-THREE-XS.html","tasks/triple-POS-FLOAT.html","None","116112","2.01,6.03","6.13,18.39","0.10,0.30","5.20,15.60"
"A10V3PXHLR4VRM","jamr00c9","tasks/triple-POS-FLOAT.html,tasks/adding-machine-WITH-00.html,tasks/sum-sublists-EMPTY-LIST.html,tasks/first-half-EVEN-LENGTH.html,tasks/cut-at-xx-NO-XXS.html","tasks/triple-POS-FLOAT.html","The main issue with the survey is that some of the examples were insufficient. One was actually blank which was unhelpful.","111243","2.01,6.03","1.07,3.21","4.13,12.39","3.25,9.75"
"AVFHVR031G04W","jamnrlui","tasks/triple-POS-FLOAT.html,tasks/adding-machine-WITHOUT-00.html,tasks/sum-sublists-ALL-FULL.html,tasks/first-half-ODD-LENGTH.html,tasks/cut-at-xx-THREE-XS.html","tasks/triple-POS-FLOAT.html","I am in school for Computer Science, I am learning Java and C++. No issues with survey!","196841","2.01,6.03","1.69,5.07","1.89,5.67","6.39,19.17"
"A2U5K5WW79T4Q2","jamloz3a","tasks/triple-POS-FLOAT.html,tasks/adding-machine-WITHOUT-00.html,tasks/sum-sublists-EMPTY-SUBLIST.html,tasks/first-half-EVEN-LENGTH.html,tasks/cut-at-xx-EMPTY-STRING.html","tasks/triple-POS-FLOAT.html","VB","81084","2.01,6.03","4.00,12.00","1.00,3.00","2.00,6.00"
"A1VFXUT4WS5VT","jamrka9p","tasks/triple-POS-FLOAT.html,tasks/adding-machine-WITHOUT-00.html,tasks/sum-sublists-EMPTY-SUBLIST.html,tasks/first-half-ODD-LENGTH.html,tasks/cut-at-xx-MULTIPLE-XXS.html","tasks/triple-POS-FLOAT.html","i know java language,  i didn't find any issues ","319763","2.01,6.03","3.02,9.06","4.03,12.09","5.04,15.12"
"A7HO8U70MUTUG","jamltzhg","tasks/triple-POS-FLOAT.html,tasks/adding-machine-WITHOUT-00.html,tasks/sum-sublists-EMPTY-LIST.html,tasks/first-half-EMPTY-STRING.html,tasks/cut-at-xx-NO-XXS.html","tasks/triple-POS-FLOAT.html","good","98921","2.01,6.03","4.01,12.03","5.01,15.03","6.01,18.03"
"A3FE7PVLG3C3Y4","jamo5jre","tasks/triple-POS-FLOAT.html,tasks/adding-machine-LEADING-0.html,tasks/sum-sublists-ALL-FULL.html,tasks/first-half-ODD-LENGTH.html,tasks/cut-at-xx-NO-XXS.html","tasks/triple-POS-FLOAT.html","English","107501","2.01,6.06","3.01,9.09","5.01,15.15","4.01,12.12"
"A1VHQ3KL3P4T4H","jamrkmj9","tasks/triple-POS-FLOAT.html,tasks/adding-machine-WITHOUT-00.html,tasks/sum-sublists-ALL-FULL.html,tasks/first-half-ODD-LENGTH.html,tasks/cut-at-xx-EMPTY-STRING.html","tasks/triple-POS-FLOAT.html","English, eaglesoftware, no issues","182334","2.01,4.04","6.05,12.10","3.04,9.12","5.02,10.04"
"A2JZUSRBP6H5S","jammh6ut","tasks/triple-POS-FLOAT.html,tasks/adding-machine-EMPTY-LIST.html,tasks/sum-sublists-ALL-FULL.html,tasks/first-half-EVEN-LENGTH.html,tasks/cut-at-xx-EMPTY-STRING.html","tasks/triple-POS-FLOAT.html","python.  No.  No.","108436","2.01,6.03","147.57,442.71","86.24,258.72","71.25,213.75"
"A4IH4CO046EV3","jamlmjew","tasks/triple-POS-FLOAT.html,tasks/adding-machine-WITHOUT-00.html,tasks/sum-sublists-EMPTY-LIST.html,tasks/first-half-ODD-LENGTH.html,tasks/cut-at-xx-NO-XXS.html","tasks/triple-POS-FLOAT.html","C, just school, not at work, no issues with survey","55117","2.01,6.03","10,30","1.99,5.97","5,15"
"ABL3H3O3BI8ZD","jamlsfws","tasks/triple-POS-FLOAT.html,tasks/adding-machine-WITHOUT-00.html,tasks/sum-sublists-EMPTY-SUBLIST.html,tasks/first-half-ODD-LENGTH.html,tasks/cut-at-xx-MULTIPLE-XXS.html","tasks/triple-POS-FLOAT.html","Swift, school and no.","126465","2.01,6.03","4,12","8,24","10,30"
"A2AMI7BVALOCJP","jamsqcr2","tasks/triple-POS-FLOAT.html,tasks/adding-machine-WITH-00.html,tasks/sum-sublists-EMPTY-LIST.html,tasks/first-half-EVEN-LENGTH.html,tasks/cut-at-xx-FOUR-XS.html","tasks/triple-POS-FLOAT.html","Python","51293","2.01,6.03","1.02,3.06","2.10,6.30","5.25,15.75"
"AMY9FF4EMW50O","jamqp104","tasks/triple-POS-FLOAT.html,tasks/adding-machine-LEADING-0.html,tasks/sum-sublists-EMPTY-LIST.html,tasks/first-half-EMPTY-STRING.html,tasks/cut-at-xx-THREE-XS.html","tasks/triple-POS-FLOAT.html","it was backwards in some aspects","127601","2.01,6.03","3.03,9.09","4.03,12.09","5.03,15.09"
"workerId","postId","experimentID","taskID","q1","tasks/triple-NEG-FLOAT.html_time","tasks/triple-NEG-FLOAT.html_test0","tasks/triple-NEG-FLOAT.html_test1","tasks/triple-NEG-FLOAT.html_test2","tasks/triple-NEG-FLOAT.html_test3"
"A3US51RJ9AWSEE","jamve3q8","tasks/triple-NEG-FLOAT.html,tasks/adding-machine-WITHOUT-00.html,tasks/sum-sublists-EMPTY-LIST.html,tasks/first-half-EVEN-LENGTH.html,tasks/cut-at-xx-THREE-XS.html","tasks/triple-NEG-FLOAT.html","Javascript, don't really use program too much as I just took a class in high school, no issues.","88773","-1.02,-3.06","3,9","2.22,6.66","12.289,36.867"
"A2AEY7AGQYBN6X","jammoyxx","tasks/triple-NEG-FLOAT.html,tasks/adding-machine-EMPTY-LIST.html,tasks/sum-sublists-EMPTY-LIST.html,tasks/first-half-EVEN-LENGTH.html,tasks/cut-at-xx-EMPTY-STRING.html","tasks/triple-NEG-FLOAT.html","C#","86410","-1.02,-3.06","0,0","1,3","1.5,4.5"
"A239EUWY6SNDEZ","jamm3cdb","tasks/triple-NEG-FLOAT.html,tasks/adding-machine-EMPTY-LIST.html,tasks/sum-sublists-ALL-FULL.html,tasks/first-half-EVEN-LENGTH.html,tasks/cut-at-xx-MULTIPLE-XXS.html","tasks/triple-NEG-FLOAT.html","pretty good  hit and I don't have a bunch of programming knowledge","141654","-1.02,-3.06","-5.00,-15.00","-3.00,-9.00","3.10,-9.30"
"A1WOV2JIV5I9VE","jamm1c5y","tasks/triple-NEG-FLOAT.html,tasks/adding-machine-WITHOUT-00.html,tasks/sum-sublists-ALL-FULL.html,tasks/first-half-ODD-LENGTH.html,tasks/cut-at-xx-THREE-XS.html","tasks/triple-NEG-FLOAT.html","HTML","122808","-1.02,-3.00","-2.66,-7.98","-5.55,-16.65","-3.21,-9.63"
"AQFMTNBV7FTPM","jamqlh09","tasks/triple-NEG-FLOAT.html,tasks/adding-machine-WITHOUT-00.html,tasks/sum-sublists-ALL-FULL.html,tasks/first-half-EMPTY-STRING.html,tasks/cut-at-xx-MULTIPLE-XXS.html","tasks/triple-NEG-FLOAT.html","Python, no I do not use it as part of school or work. No issues with the survey","84627","-1.02,-3.06","-3.33,-9.99","2.31,6.93","2.75,8.25"
