workerId,postId,experimentID,taskID,q1,tasks/adding-machine-POS-INT.html_time,tasks/adding-machine-POS-INT.html_test0,tasks/adding-machine-POS-INT.html_test1,tasks/adding-machine-POS-INT.html_test2,tasks/adding-machine-POS-INT.html_test3,tasks/adding-machine-POS-INT.html_score,
A3TUCOUVSP9ZGY,ja47jgnb,tasks/adding-machine-POS-FLOAT.html,tasks/adding-machine-POS-FLOAT.html,No issues.,310036,"[""[2.2, 2.2, 0.0, 0.0]"",""[4.4]""]","[""[1.4, 2.3, 0.0, 0.0]"",""[3.7]""]","[""[2.7, 0.0, 2.1, 3.6]"",""[2.7, 5.7]""]","[""[1.1, 1.2, 1.3, 0.0, 0.0]"",""[3.6]""]",50,
AOIYMAKATLETX,ja3ecrdo,tasks/adding-machine-POS-FLOAT.html,tasks/adding-machine-POS-FLOAT.html,Python. No issues,292182,"[""[2.2, 2.2, 0.0, 0.0]"",""[4.4]""]","[""[1, 1, 0, 2, 2, 0, 0, 0, 1]"",""[2, 4]""]","[""[0, 0, 1, 1]"",""[]""]","[""[1, 2, 3, 4, 0, 1, 2, 0, 0]"",""[10, 3]""]",50,
A1GWZN8VWZPF9G,ja3gb47f,tasks/adding-machine-POS-INT.html,tasks/adding-machine-POS-INT.html,"R, I did not have issues",619863,"[""[2, 2, 0, 0]"",""[4,4]""]","[""[3,2,5,4,0,2,1,0, 0]"",""[14,17]""]","[""[5,5,2,0,1,1,1,3,0,2,2,2]"",""[12,18]""]","[""[1, 17, 147, 0, 19, 246, 0, 139]"",""[165,430]""]",25,30.5555555556
A25R2OI9L2Q1OW,ja3xtx7l,tasks/adding-machine-POS-INT.html,tasks/adding-machine-POS-INT.html,Thanks!,300277,"[""[2, 2, 0, 0]"",""[4]""]","[""[4, 5, 1]"",""[9]""]","[""[8, 7, 5, 13]"",""[15]""]","[""[3,3,5,9]"",""[11]""]",25,
A2MO8HX46WC0M6,ja3u4014,tasks/adding-machine-POS-INT.html,tasks/adding-machine-POS-INT.html,"I use VBA (ugh, I know, it's for work) the most. For fun, I use python the most. No issues with the survey.",272324,"[""[2, 2, 0, 0]"",""[4]""]","[""[2.5, 9.5, -1, 0, 0.5, 1, 0, 0]"",""[11, 1.5]""]","[""[4294967295, 1, 0, 0]"",""[4294967296]""]","[""[0, 0]"",""[0]""]",75,
A2UU8RM98WZ6HE,ja3u7n8f,tasks/adding-machine-POS-INT.html,tasks/adding-machine-POS-INT.html,"really dont have one, just wanted to try the challenge myself",549281,"[""[2, 2, 0, 0]"",""[4, 0]""]","[""[8, 3, 0, 2, 0, 0]"",""[11, 2]""]","[""[6, 2, 0, 4, 7, 0]"",""[8, 4, 7]""]","[""[4, 3, 0, 0 , 6, 5, 0]"",""[7,  11]""]",25,
A2X86TVNZOF6HW,ja3bdrra,tasks/adding-machine-POS-INT.html,tasks/adding-machine-POS-INT.html,Python,236237,"[""[2, 2, 0, 0]"",""[4,0]""]","[""[10, 1, 0, 1, 1, 0, 10, 1, 0, 0]"",""[11, 2, 11]""]","[""[8, 2, 3, 0, 2, 2, 1, 0, 0, 1]"",""[13, 5]""]","[""[0, 0, 2, 3, 4, 1, 6, 88]"",""[0]""]",25,
A3Q13VTPRIVFZS,ja3vdgoo,tasks/adding-machine-POS-INT.html,tasks/adding-machine-POS-INT.html,Javascript,199445,"[""[2, 2, 0, 0]"",""[4]""]","[""[1, 2, 3, 0, 4, 5, 0, 0, 4]"",""[6, 9]""]","[""[15, 3, 0, 1, 9, 0, 3]"",""[18, 10, 3]""]","[""[321, 45, 0, 69, 72, 0, 3, 0, 0, 9]"",""[366, 141, 3]""]",25,
A3VE8U98QF4FVV,ja3b11x1,tasks/adding-machine-POS-INT.html,tasks/adding-machine-POS-INT.html,C# is my most used programming language. I didn't have any issues with the survey.,556339,"[""[2, 2, 0, 0]"",""[4]""]","[""[5,3,1,3,0,3,4,5,0,8,2,0,0,2,7,0]"",""[12,12,10]""]","[""[1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,5,6]"",""[3,4,5]""]","[""[9,0,0]"",""[9]""]",25,
A9OAPZYZLIVZJ,ja486j9x,tasks/adding-machine-POS-INT.html,tasks/adding-machine-POS-INT.html,"Java, I had no issues with the survey.",425055,"[""[2, 2, 0, 0]"",""[4]""]","[""[3,2,9,0,5,2,0,0,4]"",""[14,7]""]","[""[4,0,3,1,5,0,0,6,7]"",""[4,9]""]","[""[8,7,0,4,1,2,0,0]"",""[15,7]""]",25,
AZSHBOG8AA7QC,ja3rhjdp,tasks/adding-machine-POS-INT.html,tasks/adding-machine-POS-INT.html,No,255074,"[""[2, 2, 0, 0]"",""[4]""]","[""[6, 6, 0, 8, 1, 0, 1, 0, 0]"",""[12, 9, 1]""]","[""[3, 6, 1, 0, 5, 1, 0]"",""[10, 6]""]","[""[3, 3, 3, 0, 4, 2, 0, 1, 5, 0]"",""[6, 6, 6]""]",25,
