"workerId","postId","experimentID","taskID","q1","tasks/double-INT.html_time","tasks/double-INT.html_test0","tasks/double-INT.html_test1","tasks/double-INT.html_test2","tasks/double-INT.html_test3"
"A1VAYSV4KK3HEY","j9u6d67t","tasks/double-INT.html","tasks/double-INT.html","Python. There was a comma missing in the function arguments.","106261","21,42","8,16","30,60","9,18"
"A2AT5B7RW4VXBX","j9u5p6ya","tasks/double-INT.html","tasks/double-INT.html","english","29393","21,42","6,12","12,24","24,48"
"A1XPUUD0HLD6HB","j9u6crnr","tasks/double-INT.html","tasks/double-INT.html","HTML/CSS","52406","21,42","10,20","23,46","4,8"
"A1LB9JOMFQ1UMG","j9u5jo8j","tasks/double-INT.html","tasks/double-INT.html","Java, no issues.","34718","21,42","15,30","6,12","7,14"
"AQHJAG8TFBHQL","j9u7wx0h","tasks/double-INT.html","tasks/double-INT.html","Java is my most used language. No issues with the survey","108558","21,42","-5,-10","2147483647,4294967294","0,0"
"A3LV60O7E3XAN4","j9u82207","tasks/double-INT.html","tasks/double-INT.html","C, no","110622","21,42","-1,-2","0,0","0.5,1"
"  A2VNR6984SDFGQ","j9u7n7tx","tasks/double-INT.html","tasks/double-INT.html","Basic","33349","21,42","4,8","5,10","10,20"
"A36XEP5H6KBQIB","j9u6phz7","tasks/double-INT.html","tasks/double-INT.html","No issues","138133","21,42","189,378","1701,3402","15309,30618"
"A248RKU6T22V9N","j9u5ynmb","tasks/double-INT.html","tasks/double-INT.html","English ","65968","21,42","12,24","10,20","8,16"
"A38TZK07ON180S","j9u6mzz8","tasks/double-INT.html","tasks/double-INT.html","no issues","102713","21,42","42,84","90,180","200,400"
"A2E3TO92MCQ9XU","j9u8i0gl","tasks/double-INT.html","tasks/double-INT.html","C#, none","19010","21,42","15,30","25,50","4,8"
"A2JPGLBWQ1X49G","j9u6xwbg","tasks/double-INT.html","tasks/double-INT.html","GOOD","61679","21,42","4,8","64,128","5,25"
"A20E3U52YFBLHJ","j9u77mfg","tasks/double-INT.html","tasks/double-INT.html","no","35322","21,42","2,4","4,8","8,16"
"A3CPQP08A6J09F","j9u70224","tasks/double-INT.html","tasks/double-INT.html","SQL and no issues","143291","21,42","147,294","1029,2058","7203,14406"
"A2TDEX0T7XEPLU","j9u6v79c","tasks/double-INT.html","tasks/double-INT.html","My most used programming language is html, and I had no issues with this survey","110910","21,42","6,12","18,36","5,10"
"A231ZXYHPSNUJQ","j9u7hpa1","tasks/double-INT.html","tasks/double-INT.html","No issues","39482","21,42","12,24","15,30","45,90"
"A197FECF831H95","j9u64qaf","tasks/double-INT.html","tasks/double-INT.html","Python, no","40189","21,42","2,4","11,22","10,20"
"A12LI6GAHU6S2H","j9u9s79x","tasks/double-INT.html","tasks/double-INT.html","Java","69523","21,42","12,24","15,30","40,80"
"A1X4BKW05XDA8Q","j9ubvta0","tasks/double-INT.html","tasks/double-INT.html","C++","34344","21,42","15,30","33,66","25,50"
"A3OCHRI3EXIVEG","j9u7vf16","tasks/double-INT.html","tasks/double-INT.html","english","38869","21,42","6,12","8,16","10,20"
"A12WRJ2ZMDW3SU","j9u7zh3c","tasks/double-INT.html","tasks/double-INT.html","N/A","57278","21,42","12,24","16,32","55,110"
"AQ9QT3L1WGEPO","j9u5nz8x","tasks/double-INT.html","tasks/double-INT.html","MATLAB is my most used. No issues.","20376","21,42","7,14","6,12","8,16"
"A38Q1M4DS1MT4W","j9u5hon7","tasks/double-INT.html","tasks/double-INT.html","html, no issues","35163","21,42","10,20","15,30","8,16"
"A3JHXEH79DJ83L","j9u6f383","tasks/double-INT.html","tasks/double-INT.html","java, forgot it all tho","56812","21,42","1,2","2,4","5,10"
"A14V00DTKKHEFH","j9u7ihtf","tasks/double-INT.html","tasks/double-INT.html","C#","76546","21,42","8,16","2,4","55,110"
"A6WXIKRYMXNIN","j9u6lkbb","tasks/double-INT.html","tasks/double-INT.html","C++, had no issues","91744","21,42","77,154","8,16","55,110"
"workerId","postId","experimentID","taskID","q1","tasks/double-FLOAT.html_time","tasks/double-FLOAT.html_test0","tasks/double-FLOAT.html_test1","tasks/double-FLOAT.html_test2","tasks/double-FLOAT.html_test3"
"A2TUS3SMO9D6JU","j9yie0di","tasks/double-FLOAT.html","tasks/double-FLOAT.html","no issues","103426","2.01,4.02","1.02,2.04","8.01,16.02","4.10,8.20"
"A2O7H7VXLFN6BP","j9yicv9o","tasks/double-FLOAT.html","tasks/double-FLOAT.html","C#, no issues","102167","2.01,4.02","0,0","-5.62,-11.24","-1,-2"
"A28ZPY6D5AS7GZ","j9ymxqpx","tasks/double-FLOAT.html","tasks/double-FLOAT.html","Java. No.","38829","2.01,4.02","6.23,12.46","5.01,10.02","9.25,18.50"
"A2DA849F6IV3EO","j9yi17cc","tasks/double-FLOAT.html","tasks/double-FLOAT.html","php","124466","2.01,4.02","0.00,0.00","-0.5,-1.00","-0.000001,-0.000002"
"A1QYAUV5XSWSIS","j9yrgau0","tasks/double-FLOAT.html","tasks/double-FLOAT.html","Swift id my most used programming language. No issues. ","154435","2.01,4.02","9.00,18.00","19.03,38.06","27.00,54.00"
"A1N1WY7UCRBQQ9","j9yhz1cp","tasks/double-FLOAT.html","tasks/double-FLOAT.html","Python","57590","2.01,4.02","7.00,14.00","0.32,0.64","-4.00,-8.00"
"A1E6XBV7FDHI6M","j9yiawcj","tasks/double-FLOAT.html","tasks/double-FLOAT.html","java","53728","2.01,4.02","1.01,2.02","2.02,4.04","4.04,8.08"
"A25T7Z3Z895KHE","j9ys0f2z","tasks/double-FLOAT.html","tasks/double-FLOAT.html","No","88613","2.01,4.02","1,2","2,4","3,6"
"debug","j9sxkzk8","tasks/double-FLOAT.html","tasks/double-FLOAT.html","DEBUG 2B","6094","2.01,0","0,0","0,0","0,0"
"AW20BA38TBP8O","j9yihafj","tasks/double-FLOAT.html","tasks/double-FLOAT.html","no","81143","2.01,4.02","1.00,2.00","5.00,10.00","2.03,4.06"
"A16SAB417Y96G4","j9yj2xaz","tasks/double-FLOAT.html","tasks/double-FLOAT.html","Java, none.","24892","2.01,4.02","5,10","6,12","5.5,11"
"A3U306W3BPP0J6","j9ykblol","tasks/double-FLOAT.html","tasks/double-FLOAT.html","This was a very tricky survey. I understand the concept but it was trick to figure out what would be the base number.","326909","2.01,4.02","1.05,2.1","3.5,7","4,8"
"A2XVL0RNQMWI17","j9yi096z","tasks/double-FLOAT.html","tasks/double-FLOAT.html","C++ and no.","72436","2.01,4.02","4.02,8.04","6.16,12.32","8.90,17.80"
"A2UNAK22H7TOCN","j9ykpgwi","tasks/double-FLOAT.html","tasks/double-FLOAT.html","basic\nnope","32563","2.01,4.02","3,6","2.2,4.4","5.1,10.2"
"A2MFG2IU76YEH0","j9yjv068","tasks/double-FLOAT.html","tasks/double-FLOAT.html","Java","55221","2.01,4.02","1.25,2.5","5.7,11.4","4.32,8.64"
"A1XPYRCDDORKTS","j9z2ltt6","tasks/double-FLOAT.html","tasks/double-FLOAT.html","NO","213681","2.01,4.02","8.04,16.08","12.24,24.48","10.04,20.08"
"A1JO1CCU5FXOUW","j9yok0y0","tasks/double-FLOAT.html","tasks/double-FLOAT.html","basic, no","62101","2.01,4.02","3.31,6.62","1.08,2.16","4.90,9.80"
"A2JPGLBWQ1X49G ","j9yikd4z","tasks/double-FLOAT.html","tasks/double-FLOAT.html","good","56572","2.01,4.02","3.4,6.8","3.8,7.6","2.3,4.6"
"AY0758IITCGOZ","j9yjmh5n","tasks/double-FLOAT.html","tasks/double-FLOAT.html","english","61257","2.01,4.02","3.02,6.04","5.02,10.04","1.01,2.02"
"A2NSXRT6HN3S2Q","j9yqk3r6","tasks/double-FLOAT.html","tasks/double-FLOAT.html","Recently python, overall probably R.  No problems w/ survey. thanks!","59489","2.01,4.02","3.10,6.20","9.0,18.0","7.25,14.50"
"A1YPDVVWHZWDZ9","j9yufgfm","tasks/double-FLOAT.html","tasks/double-FLOAT.html","C","92548","2.01,4.02","3.07,6.14","2.25,4.50","1.10,2.20"
"A2KUX7J7AH784U","j9yq0lsy","tasks/double-FLOAT.html","tasks/double-FLOAT.html","powerbuilder - I did not have problems with the survey","202840","2.01,4.02","56,112","3.14159,6.28318","545123,1090246"
"A1VHFLDO4EPKT4","j9yj5zhf","tasks/double-FLOAT.html","tasks/double-FLOAT.html","C; no issues","444546","2.01,4.02","0,0","-1.99999999,-3.99999998","4294967296.0,8589934592.0"
"A23JJTPNIFMU2U","j9yiofhu","tasks/double-FLOAT.html","tasks/double-FLOAT.html","no","43425","2.01,4.04","8.02,16.04","1.01,2.02","3.03,6.06"
" A37CO0N1KC1CDW","j9yjzflu","tasks/double-FLOAT.html","tasks/double-FLOAT.html","na","153814","2.01,5.10","1.01,3.12","4.02,7.15","5.03,8.04"
"A2HHGI5CNSS5PD","j9ypjis0","tasks/double-FLOAT.html","tasks/double-FLOAT.html","C++","101133","2.01,4.02","0.00,0.00","-5.66,-11.32","0.08,0.16"
"AJMKH3WN5HAN7","j9yxf1q4","tasks/double-FLOAT.html","tasks/double-FLOAT.html","Javascript","73098","2.01,4.02","1.00,2.00","1.15,2.30","1.30,2.60"
"A1L6D082DPMF3N","j9yiptzc","tasks/double-FLOAT.html","tasks/double-FLOAT.html","Java","120655","2.01,4.02","3.2,6.4","5.1,10.2","4,8"
"A2C84POENS2UNY","j9yhytna","tasks/double-FLOAT.html","tasks/double-FLOAT.html","C++, no","131864","2.01,4.02","6.12,12.24","5.48,10.96","1.60,3.20"
"A29X5S2VA01LJH","j9yijtsu","tasks/double-FLOAT.html","tasks/double-FLOAT.html","ENGLISH NO THANK YOU ","65210","2.01,4.02","3.01,6.02","2.23,4.46","5.01,10.02"
"A1S6XWKLEOBGMW","j9yi0pvn","tasks/double-FLOAT.html","tasks/double-FLOAT.html","VB.Net ","72264","2.01,4.02","1.11,2.22","23.4,46.8","3.25,6.50"
"A1BQCRF5Q76YFY","j9yknlhv","tasks/double-FLOAT.html","tasks/double-FLOAT.html","java no ","66876","2.01,4.02","4.31,8.62","1.13,2.26","6.04,12.08"
"A3PVDA2DXRDKQD","j9yi4m6h","tasks/double-FLOAT.html","tasks/double-FLOAT.html","python, none","50503","2.01,4.02","2.50,5.00","3.08,6.16","4.15,8.30"
"A3U2UNSYDPS933","j9ym95cp","tasks/double-FLOAT.html","tasks/double-FLOAT.html","html, no","65064","2.01,4.02","3,6","9,18","20,40"
"A27MJOV91GA8R3","j9yiep2a","tasks/double-FLOAT.html","tasks/double-FLOAT.html","Java","103669","2.01,4.02","0.96,1.92","-0.09,-0.18","-1.14,-2.28"
"A3RS7UCO7CQ74R","j9yi7cyb","tasks/double-FLOAT.html","tasks/double-FLOAT.html","n/a","35630","2.01,4.02","2,4","4,8","8,16"
"A15781PHGW377Y","j9z1y300","tasks/double-FLOAT.html","tasks/double-FLOAT.html","rebol, euphoria, no problems but the function specification was highly ambiguous. was is n * 2 or n + n, was it undefined for integer, double conflict with type name?...","228930","2.01,4.02","9.99,19.98","-1.00,-2.00","10,20"
"A33B85TN97HQ33","j9yi29q5","tasks/double-FLOAT.html","tasks/double-FLOAT.html","no problems","64232","2.01,4.02","4.02,8.04","6.02,12.04","5.05,10.10"
"A2R0YYUAWNT7UD","j9yij1dj","tasks/double-FLOAT.html","tasks/double-FLOAT.html","I have never used any programming language","40376","2.01,4.02","2.05,4.10","3.0,6.0","1.0,2.0"
"A38W9IO2CDPVNO","j9ynegzm","tasks/double-FLOAT.html","tasks/double-FLOAT.html","C++, no issues with the survey","384003","2.01,4.01","8.7,17.6","-2.57,-5.14","0.01,0.02"
"A1W4UH23PJ33GT","j9yw5qts","tasks/double-FLOAT.html","tasks/double-FLOAT.html","Java","73008","2.01,4.02","1.21,2.42","5.01,10.02","4.58,9.16"
"AHPOOKYE7V04D","j9yj0s3h","tasks/double-FLOAT.html","tasks/double-FLOAT.html","no issues","71412","2.01,4.02","3.00,6.00","161.29,322.58","996.3,1992.6"
"A2K34PD27VKGYG","j9yqhdou","tasks/double-FLOAT.html","tasks/double-FLOAT.html"," English and no problems with the survey","124551","2.01,4.02","6.00,12.00","4.00,8.00","5.50,11.00"
"A3DNZIZRJ847AR","j9z10884","tasks/double-FLOAT.html","tasks/double-FLOAT.html","ENGLISH   NO","147170","2.01,4.2","1.2,2.4","4.1,8.2","3.1,6.2"
"A3DU63P4KYJHOO","j9yi7bce","tasks/double-FLOAT.html","tasks/double-FLOAT.html","Microsoft Excel VBA. No issues.","87377","2.01,4.02","2.01,4.02","5.32,10.64","6.66,13.32"
"A38Z7Q3V5E2Q70","j9ytj522","tasks/double-FLOAT.html","tasks/double-FLOAT.html","html","22974","2.01,4.02","2.03,4.06","1.1,2.2","2.3,4.6"
" A32WJMEO2ZEEBN","j9z20rvw","tasks/double-FLOAT.html","tasks/double-FLOAT.html","Java","99277","2.01,4.02","6.03,12.06","4.44,8.88","9.21,18.42"
"A22QPU6FGO3WH4","j9yr8psf","tasks/double-FLOAT.html","tasks/double-FLOAT.html","Apple","66565","2.01,4.02","3.15,6.30","2.50,5.00","4.12,8.24"
"A15XX0WDRG29E7","j9yjfee8","tasks/double-FLOAT.html","tasks/double-FLOAT.html","JAVA","77552","2.01,4.02","1.01,2.02","3.02,6.04","5.05,10.10"
"A1P6BD5816L848","j9yog5xc","tasks/double-FLOAT.html","tasks/double-FLOAT.html","ENGLISH. NO","46581","2.01,4.02","1.01,2.02","5.01,10.02","3.04,6.08"
"workerId","postId","experimentID","taskID","q1","tasks/adding-machine-POS.html_time","tasks/adding-machine-POS.html_test0","tasks/adding-machine-POS.html_test1","tasks/adding-machine-POS.html_test2","tasks/adding-machine-POS.html_test3"
"A2V272VAW0GIPL","j9ujw8sf","tasks/adding-machine-POS.html","tasks/adding-machine-POS.html","English","490826","[2, 2, 0, 0],[4]","[6,6,1,0,0],[13]","[1,2,1,4,0,5,0,6],[8,5,6]","[11,0,2,0,3,4,5],[11,2,12]"
"A2MCRVU8I9VNHG","j9uavd27","tasks/adding-machine-POS.html","tasks/adding-machine-POS.html","Perl -- no problems","114333","[2, 2, 0, 0],[4]","[2,3,4,0,5,6,0,0],[9,11]","[0,0,5,5],[]","[9,1,10,0,3,5],[20,8]"
"A2HGZOXZ36XKRI","j9u6sb7c","tasks/adding-machine-POS.html","tasks/adding-machine-POS.html","c++","177328","[2, 2, 0, 0],[4]","[4,9,1,0,4,4,0,0],[14,8]","[11,12,0,4,5,5,5,5,0,0],[23,24]","[1,1,0,4,3,2,1,0,4,5,0,0],[2,10,9]"
"AEQ8K4HBO323D","j9xb33bv","tasks/adding-machine-POS.html","tasks/adding-machine-POS.html","C++","119331","[2, 2, 0, 0],[4]","[3, 5, 0, 2,1],[8, 3]","[5, 4, 0, 0],[9]","[1, 2, 4, 0, 4, 2, 0, 0],[7, 6]"
"A209H73TTW9F87","j9u62pgz","tasks/adding-machine-POS.html","tasks/adding-machine-POS.html","swift","160488","[2, 2, 0, 0],[4]","[3,3,4,0,0],[6,10]","[2,5,3,0,0],[7,10]","[1,0,4,3,0,0],[5,8]"
"A14ZZHR5MXBT3C","j9ucisnq","tasks/adding-machine-POS.html","tasks/adding-machine-POS.html","binary","351320","[2, 2, 0, 0],[4]","[5,3,4,0,6,9,0,9,8]\n,[12,15]","[4,4,0,0],[8]","[6,7,0,0],[13]"
"A3UQXYJ8EV62WE","j9ucg0qq","tasks/adding-machine-POS.html","tasks/adding-machine-POS.html","Visual Basic. No issues with the survey.","123570","[2, 2, 0, 0],[4]","[1,2,3,0,0],[6]","[3,3,7,0,0],[13]","[1,5,5,5,5,0,0],[21]"
"A1H42TSU79JTOW","j9xggy2b","tasks/adding-machine-POS.html","tasks/adding-machine-POS.html","java","184186","[2, 2, 0, 0],[4]","[1,1,0,0],[2]","[3,2,0,0],[5]","[3,3,0,0],[6]"
"ALN47U1AGCWWD","j9xgtgb6","tasks/adding-machine-POS.html","tasks/adding-machine-POS.html","Java.  No issues.","270144","[2, 2, 0, 0],[4]","[2, 5, 0, 4, 6, 0],[7, 10]","[1, 1, 2, 3, 0, 4, 0],[7, 4]","[0, 1, 2, 3, 4, 0 , 4, 3, 2],[10, 9]"
"ARYEH1BMQCKXQ","j9upvje1","tasks/adding-machine-POS.html","tasks/adding-machine-POS.html","Python","181846","[2, 2, 0, 0],[4]","[1,2,3,0,0],[6]","[4,5,0,2,6,0,0],[9,7]","[2,0,4,6,0,2,3,0,0],[2,10,5]"
"AR1IWBDA7MC86","j9u7r03s","tasks/adding-machine-POS.html","tasks/adding-machine-POS.html","Python, and I don't guess so? Hopefully I did it right.","383821","[2, 2, 0, 0],[4]","[3,6,7,8,1,2,3,0,0,5,6],[30]","[3,6,0,7,0,0,5],[9,7]","[1,1,0,1,1,0,1,1,0,1,1,0,0],[2,2,2,2]"
"ACPIOVMW162AV","j9x9bfyw","tasks/adding-machine-POS.html","tasks/adding-machine-POS.html","Python, no issues","161042","[2, 2, 0, 0],[4]","[4, 2, 0, 8, 0, 0],[6, 8]","[9, 2, 6, 0, 8, 1],[17, 9]","[4, 3, 0, 8, 2, 1],[7, 11]"
"A2VDUYTXKS4IAV","j9xe87ij","tasks/adding-machine-POS.html","tasks/adding-machine-POS.html","JAVA","255956","[2, 2, 0, 0],[4]","[2,5,0,7,12,0,0],[7,15]","[1,3,0,0],[4]","[1,8,23,0,9,2,0,0],[32,11]"
"A2WKZI3JQCE3Z6","j9u7hxwb","tasks/adding-machine-POS.html","tasks/adding-machine-POS.html","Linux shell script/Perl","73358","[2, 2, 0, 0],[4]","[1,0],[1]","[1,1,0],[2]","[1,1,0,1,1,1],[2,3]"
"A2GDEY3ZE51YY1","j9uaxmfj","tasks/adding-machine-POS.html","tasks/adding-machine-POS.html","Java - no issues","119433","[2, 2, 0, 0],[4]","[1, 2, 0, 4, 5, 6, 3, 0, 0 , 4],[3, 9, 9]","[1, 6, 0, 0],[7]","[6, 2, 6, 3, 0, 5, 0, 0],[8, 9, 5]"
"A3I97794CB5SUO","j9u6yqp4","tasks/adding-machine-POS.html","tasks/adding-machine-POS.html","C++ Where I answered that the function should return, ""0"" I would expect it to return a NULL, really. But a ""0"" would still be usable because there doesn't seem to be any condition under which it should return a ""0"" other than if the set passed to it started with ""0, 0...""","356247","[2, 2, 0, 0],[4]","[4, 5, 0, 2, 3, 0, 0],[9, 5]","[0, 0, 3, 5, 0, 5, 7],[0]","[0, 5, 3, 0, 0],[8]"
"A3PEJ2UC43Y4ZN","j9u6gsb0","tasks/adding-machine-POS.html","tasks/adding-machine-POS.html","C++, no issues","214390","[2, 2, 0, 0],[4]","[3,4,0,5,6,0,0],[7,11]","[4,1,1,2,0,1,1,1,1,0,0],[8,4]","[2,1,3,5,0,1,2,3,1,2,3,0,0],[11,12]"
"A1S5W9N861BFLD","j9ubwg34","tasks/adding-machine-POS.html","tasks/adding-machine-POS.html","Jscript","327118","[2, 2, 0, 0],[4]","[12,9,0,1,3,0],[21,4]","[2,4,1,0,3,4,0,0],[7,7]","[1,0,1],[1,1]"
"A2DQSGRTWEG7LB","j9xbk6at","tasks/adding-machine-POS.html","tasks/adding-machine-POS.html","None","473492","[2, 2, 0, 0],[4]","[2, 6, 0],[8]","[2, 7, 0, 5, 6],[9, 11]","[2, 4, 0, 3, 8],[6, 11]"
"A1A6UVH1CCP8CD","j9ulr0hl","tasks/adding-machine-POS.html","tasks/adding-machine-POS.html","A1A6UVH1CCP8CD","414116","[2, 2, 0, 0],[4,0]","[7,12,0,0],[19,0]","[3,4,2,0,4,3,0,0],[9,7]","[2,8,1,0,8,5,0,0],[11,13]"
"A1CWDCM0WHXQXZ","j9u5uab9","tasks/adding-machine-POS.html","tasks/adding-machine-POS.html","I'm going to say C# so you don't make fun of me (but in reality it's PHP)","93141","[2, 2, 0, 0],[4]","[1,2,3,0,0],[6]","[1,1,1,1],[0]","[1,1,1,1,0],[4]"
"AHDBHMH3AY1V2","j9uc3uwh","tasks/adding-machine-POS.html","tasks/adding-machine-POS.html","Longest used language is JavaScript but have been using Python more frequently. No issues.","407146","[2, 2, 0, 0],[4]","[3, 0, 6, 3, 5, 0, 3, 7, 0, 0],[3, 14, 10]","[5, 3, 9, 0, 6, 1, 1, 6, 6],[17, 20]","[7, 0, 3, 4, 1, 6, 1, 0, 0, 4, 2, 5],[7, 15]"
"A1MIBEGF81ZLUS","j9u5v76x","tasks/adding-machine-POS.html","tasks/adding-machine-POS.html","java, no","102204","[2, 2, 0, 0],[4, 0]","[2, 9, 0, 8, 5, 0, 0],[11, 13]","[2, 3, 0, 9, 1, 0, 0],[5, 10]","[2, 9, 0, 0],[11]"
"A2G8UI423QZYJJ","j9u5tk4c","tasks/adding-machine-POS.html","tasks/adding-machine-POS.html","python, no problems","154491","[2, 2, 0, 0],[4]","[3,5,0,9,3,0,0],[8,11]","[1,2,3,0,0],[6]","[7,5,3,0,5,2,2,6,0,0],[15,15]"
"A1FO99U5T2TBBP","j9x8j2rq","tasks/adding-machine-POS.html","tasks/adding-machine-POS.html","Java and no","201025","[2, 2, 0, 0],[4]","[3, 3, 0, 5, 7, 0],[6, 12]","[8, 2, 0, 1, 9, 0],[10, 10]","[4,2,0,0,6,6,0],[6,12]"
"A1SV006WIFZ0BX","j9u7m6hb","tasks/adding-machine-POS.html","tasks/adding-machine-POS.html","Lua; none","273680","[2, 2, 0, 0],[4]","[0,0,2,5],[]","[0,1,0,2,3,0,0],[1,5]","[3,5,7,9,0,8,6,0,4,2,0,0],[24,14,6]"
"A37X1GHLB2HCX7","j9u817z1","tasks/adding-machine-POS.html","tasks/adding-machine-POS.html","C","242333","[2, 2, 0, 0],[4]","[1, 3, 4, 0, 1],[8, 1]","[5, 5, 5, 0, 5],[15, 5]","[11, 12, 13, 0, 14, 0 ,15],[36, 14, 15]"
"A26U4IKXMXT0ZA","j9x6h3er","tasks/adding-machine-POS.html","tasks/adding-machine-POS.html","Python","784162","[2, 2, 0, 0],[4]","[3, 6, 0, 2, 4, 0, 0],[9, 6]","[5, 9, 0, 2, 5, 6, 7, 0, 0],[14, 20]","[2, 3, 0, 5, 6, 0, 6, 7, 0, 0],[5, 11, 13]"
"A3MAVVI8KQVM7J","j9x8z6jg","tasks/adding-machine-POS.html","tasks/adding-machine-POS.html","most used programming language is Java.","115930","[2, 2, 0, 0],[4]","[5, 3, 0, 1, 1, 2, 0, 6, 3, 0, 0],[8, 4, 9]","[2, 0, 0, 1, 3, 5, 24, 46, 0, 5],[2]","[1, 2, 3, 0, 4, 5, 6, 0, 7, 8, 9, 0, 0],[6, 15, 24]"
"A19KF02ULCISTQ","j9ud6pco","tasks/adding-machine-POS.html","tasks/adding-machine-POS.html","NONE, or gw basic","664071","[2, 2, 0, 0],[4,2]","[0,0],[0,0]","[3,6,5,0,5,0,0],[14,5]","[0,1,0,2,0,3,0,6,0,0],[12,6]"
"AHPUQCTR1STXR","j9ugbp2d","tasks/adding-machine-POS.html","tasks/adding-machine-POS.html","I don't know what programming language I use most. I had no issues but hope my responses were correct.","253218","[2, 2, 0, 0],[4]","[3, 1, 2, 0, 4, 5, 1, 0, 0, 8, 2],[6, 10]","[9, 2, 4, 3, 0, 2, 1, 5, 0, 0, 1],[18, 8]","[8, 2, 0, 3, 8, 0, 7, 4, 0, 0, 6],[10, 11, 11]"
"A1R3S4GZ4P7FBO","j9u5ya07","tasks/adding-machine-POS.html","tasks/adding-machine-POS.html","java","241635","[2, 2, 0, 0],[4]","[2, 2, 3, 0, 0],[7]","[2, 2, 3, 1, 0, 0],[8]","[1, 2, 0, 2, 3, 0, 0],[3, 5]"
"AD1ZZ20JSZ9L","j9u5lvvo","tasks/adding-machine-POS.html","tasks/adding-machine-POS.html","C","234411","[2, 2, 0, 0],[4]","[9, 8, 5, 0, 0, 5, 4],[22, 9]","[1, 2, 3, 0, 0, 4, 5, 6, 0, 0, 7, 8],[6 ,15, 15]","[1, 0, 0, 2, 0, 0, 3, 6, 7],[1, 2, 16]"
